LABOUR_ID,DEALER_ORDER_ID,LABOUR_CODE,LABOUR_NAME,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
1.0,110.0,LR016,Brake System Service,9999999999,2024-06-10,9999999988,2024-07-11
2.0,4180.0,LR003,Inverter Replacement,9999999999,2024-06-02,9999999988,2024-06-09
3.0,4786.0,LR010,Onboard Charger Repair,9999999999,2024-05-06,9999999988,2024-05-13
4.0,2305.0,LR014,AC Compressor Service,9999999999,2024-01-26,9999999988,2024-03-03
5.0,4185.0,LR009,Regenerative Braking Adjustment,9999999999,2024-06-15,9999999988,2024-07-20
6.0,2727.0,LR017,Suspension Repair,9999999999,2024-03-16,9999999988,2024-04-21
7.0,2631.0,LR005,DC-DC Converter Replacement,9999999999,2024-01-31,9999999988,2024-02-22
8.0,3519.0,LR008,Thermal Management Service,9999999999,2024-01-20,9999999988,2024-05-13
9.0,3839.0,LR005,DC-DC Converter Replacement,9999999999,2024-03-10,9999999988,2024-04-27
10.0,2986.0,LR002,Motor Repair,9999999999,2024-05-09,9999999988,2024-05-16
11.0,1214.0,LR019,Windshield Replacement,9999999999,2024-01-28,9999999988,2024-06-05
12.0,3269.0,LR017,Suspension Repair,9999999999,2024-06-18,9999999988,2024-07-07
13.0,2847.0,LR014,AC Compressor Service,9999999999,2024-01-13,9999999988,2024-04-18
14.0,2699.0,LR013,Heat Pump Repair,9999999999,2024-06-12,9999999988,2024-07-04
15.0,263.0,LR016,Brake System Service,9999999999,2024-07-02,9999999988,2024-07-17
16.0,575.0,LR015,Water Pump Replacement,9999999999,2024-02-23,9999999988,2024-04-02
17.0,3624.0,LR017,Suspension Repair,9999999999,2024-03-08,9999999988,2024-06-24
18.0,1235.0,LR001,Battery Replacement,9999999999,2024-03-06,9999999988,2024-03-30
19.0,2510.0,LR012,Gearbox Service,9999999999,2024-05-14,9999999988,2024-05-27
20.0,2389.0,LR018,Headlight Alignment,9999999999,2024-05-20,9999999988,2024-06-24
21.0,2648.0,LR004,Charging Port Repair,9999999999,2024-04-22,9999999988,2024-06-27
22.0,3012.0,LR018,Headlight Alignment,9999999999,2024-05-22,9999999988,2024-07-16
23.0,4780.0,LR020,Fuse Replacement,9999999999,2024-05-20,9999999988,2024-06-18
24.0,2805.0,LR017,Suspension Repair,9999999999,2024-04-09,9999999988,2024-05-14
25.0,1634.0,LR003,Inverter Replacement,9999999999,2024-07-20,9999999988,2024-07-20
26.0,2525.0,LR003,Inverter Replacement,9999999999,2024-04-09,9999999988,2024-07-07
27.0,115.0,LR003,Inverter Replacement,9999999999,2024-04-28,9999999988,2024-06-16
28.0,1261.0,LR015,Water Pump Replacement,9999999999,2024-03-19,9999999988,2024-05-15
29.0,4194.0,LR015,Water Pump Replacement,9999999999,2024-06-28,9999999988,2024-07-20
30.0,1647.0,LR013,Heat Pump Repair,9999999999,2024-01-14,9999999988,2024-04-09
