SALE_PART_ID,DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
1.0,3485.0,TMS008,Thermal Management System,1.0,9999999999,2024-05-29,9999999988,2024-07-08
2.0,1390.0,WB020,Wheel Bearings,3.0,9999999999,2024-01-16,9999999988,2024-03-06
3.0,2542.0,CP004,Charging Port,1.0,9999999999,2024-07-17,9999999988,2024-07-19
4.0,2846.0,EWP016,Electric Water Pump,1.0,9999999999,2024-06-06,9999999988,2024-07-20
5.0,1083.0,HL023,Headlights,1.0,9999999999,2024-04-27,9999999988,2024-06-12
6.0,3468.0,EAC015,Electric Air Conditioning Compressor,1.0,9999999999,2024-05-19,9999999988,2024-07-14
7.0,2949.0,RBS009,Regenerative Braking System,1.0,9999999999,2024-03-25,9999999988,2024-07-01
8.0,2877.0,WB025,Wiper Blades,1.0,9999999999,2024-02-24,9999999988,2024-04-18
9.0,584.0,TI019,Tires,1.0,9999999999,2024-02-24,9999999988,2024-07-19
10.0,4063.0,WB025,Wiper Blades,2.0,9999999999,2024-02-06,9999999988,2024-06-05
11.0,1361.0,EDU012,Electric Drive Unit,1.0,9999999999,2024-04-07,9999999988,2024-07-19
12.0,4429.0,TI019,Tires,4.0,9999999999,2024-02-27,9999999988,2024-04-27
13.0,2289.0,RBS009,Regenerative Braking System,1.0,9999999999,2024-02-08,9999999988,2024-06-28
14.0,2652.0,EM002,Electric Motor,1.0,9999999999,2024-01-29,9999999988,2024-07-21
15.0,2136.0,HP014,Heat Pump,1.0,9999999999,2024-05-08,9999999988,2024-06-22
16.0,2045.0,CAF034,Cabin Air Filter,4.0,9999999999,2024-02-09,9999999988,2024-04-17
17.0,3487.0,CVJ029,CV Joints,4.0,9999999999,2024-06-17,9999999988,2024-07-02
18.0,142.0,FB035,Fuse Box,1.0,9999999999,2024-03-20,9999999988,2024-07-05
19.0,696.0,HL023,Headlights,1.0,9999999999,2024-07-04,9999999988,2024-07-14
20.0,917.0,AB036,12V Auxiliary Battery,1.0,9999999999,2024-07-21,9999999988,2024-07-21
21.0,4033.0,TI019,Tires,4.0,9999999999,2024-01-25,9999999988,2024-06-29
22.0,3525.0,WS021,Windshield,1.0,9999999999,2024-01-06,9999999988,2024-02-11
23.0,2938.0,TRE028,Tie Rod Ends,4.0,9999999999,2024-06-03,9999999988,2024-06-03
24.0,1212.0,MI022,Mirrors,4.0,9999999999,2024-07-10,9999999988,2024-07-18
25.0,691.0,CAF034,Cabin Air Filter,3.0,9999999999,2024-04-04,9999999988,2024-06-06
26.0,2671.0,BD018,Brake Discs,4.0,9999999999,2024-01-25,9999999988,2024-03-02
27.0,1967.0,BP017,Brake Pads,4.0,9999999999,2024-03-27,9999999988,2024-05-12
28.0,2932.0,SC026,"Suspension Components (Shocks, Struts)",3.0,9999999999,2024-02-25,9999999988,2024-06-09
29.0,1118.0,SC026,"Suspension Components (Shocks, Struts)",4.0,9999999999,2024-06-22,9999999988,2024-06-26
30.0,1301.0,BP017,Brake Pads,2.0,9999999999,2024-02-01,9999999988,2024-04-03
31.0,2326.0,EWP016,Electric Water Pump,1.0,9999999999,2024-07-16,9999999988,2024-07-21
32.0,3839.0,BD018,Brake Discs,1.0,9999999999,2024-02-12,9999999988,2024-04-10
33.0,1753.0,CL031,Coolant (for thermal management),2.0,9999999999,2024-04-23,9999999988,2024-06-30
34.0,2130.0,SC026,"Suspension Components (Shocks, Struts)",4.0,9999999999,2024-02-18,9999999988,2024-06-03
35.0,2179.0,WS021,Windshield,1.0,9999999999,2024-05-09,9999999988,2024-06-30
36.0,4439.0,PEC007,Power Electronics Controller,1.0,9999999999,2024-03-19,9999999988,2024-07-14
37.0,2999.0,CAF034,Cabin Air Filter,4.0,9999999999,2024-04-21,9999999988,2024-06-03
38.0,2800.0,EAC015,Electric Air Conditioning Compressor,1.0,9999999999,2024-02-05,9999999988,2024-05-30
39.0,1770.0,CVJ029,CV Joints,3.0,9999999999,2024-05-29,9999999988,2024-06-28
40.0,630.0,CAF034,Cabin Air Filter,4.0,9999999999,2024-04-04,9999999988,2024-05-30
41.0,3623.0,CAF034,Cabin Air Filter,4.0,9999999999,2024-03-12,9999999988,2024-04-17
42.0,920.0,SC026,"Suspension Components (Shocks, Struts)",1.0,9999999999,2024-03-13,9999999988,2024-03-19
43.0,948.0,EWP016,Electric Water Pump,1.0,9999999999,2024-04-10,9999999988,2024-07-11
44.0,176.0,EWP016,Electric Water Pump,1.0,9999999999,2024-01-27,9999999988,2024-02-13
45.0,2245.0,SC026,"Suspension Components (Shocks, Struts)",1.0,9999999999,2024-02-20,9999999988,2024-03-20
46.0,1563.0,BD018,Brake Discs,3.0,9999999999,2024-01-16,9999999988,2024-06-27
47.0,3146.0,BP017,Brake Pads,4.0,9999999999,2024-02-01,9999999988,2024-06-15
48.0,464.0,BF032,Brake Fluid,3.0,9999999999,2024-05-31,9999999988,2024-07-20
49.0,281.0,EWP016,Electric Water Pump,1.0,9999999999,2024-04-17,9999999988,2024-06-06
50.0,1261.0,BF032,Brake Fluid,2.0,9999999999,2024-04-01,9999999988,2024-05-12
51.0,2893.0,TL024,Taillights,2.0,9999999999,2024-06-11,9999999988,2024-07-09
52.0,2266.0,SC026,"Suspension Components (Shocks, Struts)",4.0,9999999999,2024-04-16,9999999988,2024-07-12
53.0,1122.0,BD018,Brake Discs,1.0,9999999999,2024-07-10,9999999988,2024-07-18
