dealerId,dealerName,passedTraining,contactNumber,country,state,city,address
0001,Leão,Y,5581908217851,Brazil,RJ,Rio de Janeiro,"Avenida de Jesus, 678 Conjunto Serra Verde 36439012 Pereira / PE"
0002,Abreu Ltda.,Y,5531901841873,Brazil,PR,Londrina,"Jardim de Teixeira, 26 Vila Antena Montanhês 04836550 Fernandes de Rodrigues / SP"
0003,Moura Nogueira - EI,Y,5581993764733,Brazil,RJ,Rio de Janeiro,"Viela Gonçalves, 9 Canadá 55929-724 Santos / RJ"
0004,Rodrigues Rocha - EI,N,5561945430814,Brazil,RS,Pelotas,Praia Maria Fernanda Nascimento Santa Rita 50654-433 Novais / SC
0005,Borges da Cunha e Filhos,Y,5561975847987,Brazil,SP,Campinas,"Residencial de Sales, 90 Tres Marias 45064282 Monteiro de Lima / SP"
0006,Novais Casa Grande - ME,Y,5521921303994,Brazil,RJ,Rio de Janeiro,"Feira Sá, 236 Dom Silverio 16936-271 Duarte / PE"
0007,Peixoto,Y,5551976023567,Brazil,SP,São José dos Campos,"Favela de Vasconcelos, 23 Caiçaras 15964525 Azevedo / AL"
0008,Oliveira Ltda.,Y,5584981538500,Brazil,SP,São José dos Campos,"Vale de Castro, 642 Vila São Paulo 19621-018 Leão de Novaes / PA"
0009,Fonseca,Y,5541962149007,Brazil,SP,São Paulo,Largo Costela São Francisco Das Chagas 42019679 Aparecida de Brito / MA
0010,Azevedo,Y,5511917261954,Brazil,CE,Fortaleza,"Conjunto Vitor Hugo da Costa, 655 Castanheira 84418143 Almeida dos Dourados / RN"
0011,Souza - EI,Y,5551997264577,Brazil,SP,São Paulo,"Sítio Henry Nunes, 30 Olhos D'água 76762358 Monteiro do Campo / PA"
0012,Oliveira S/A,Y,5531912687909,Brazil,MT,Cuiabá,"Vale de Mendes, 42 Dom Silverio 26350-495 Cirino do Galho / MG"
0013,Ramos,Y,5581992997917,Brazil,PR,Londrina,"Rodovia de Azevedo, 7 Grajaú 65558-567 Sales / RJ"
0014,Costela - ME,Y,5511952999451,Brazil,RJ,Niterói,"Recanto Barbosa, 83 Oeste 61963533 Duarte / AC"
