labourCode,labourName,vehicleSeries,mainCategory,secondaryClassification,isBatteryRepair
WLR001BYD001,Battery Replacement,Dolphin,Electrical,Battery,Y
WLR002BYD001,Motor Repair,Dolphin,Mechanical,Motor,N
WLR003BYD001,Inverter Replacement,Dolphin,Electrical,Inverter,N
WLR004BYD001,Charging Port Repair,Dolphin,Electrical,Charging Port,N
WLR005BYD001,DC-DC Converter Replacement,Dolphin,Electrical,DC-DC Converter,N
WLR006BYD001,BMS Calibration,Dolphin,Electrical,BMS,Y
WLR007BYD001,Power Electronics Repair,Dolphin,Electrical,Power Electronics,N
WLR008BYD001,Thermal Management Service,Dolphin,Thermal Management,Thermal Management,N
WLR009BYD001,Regenerative Braking Adjustment,Dolphin,Electrical,Regenerative Braking,N
WLR010BYD001,Onboard Charger Repair,Dolphin,Electrical,Onboard Charger,N
WLR011BYD001,Drive unity Maintenance,Dolphin,Mechanical,Drive Unit,N
WLR012BYD001,Gearbox Service,Dolphin,Mechanical,Gearbox,N
WLR013BYD001,Heat Pump Repair,Dolphin,Thermal Management,Heat Pump,N
WLR014BYD001,AC Compressor Service,Dolphin,Thermal Management,AC Compressor,N
WLR015BYD001,Water Pump Replacement,Dolphin,Cooling System,Water Pump,N
WLR016BYD001,Brake System Service,Dolphin,Brake System,Brake System,N
WLR017BYD001,Suspension Repair,Dolphin,Suspension,Suspension,N
WLR018BYD001,Headlight Alignment,Dolphin,Lighting,Headlight,N
WLR019BYD001,Windshield Replacement,Dolphin,Body,Windshield,N
WLR020BYD001,Fuse Replacement,Dolphin,Electrical,Fuse,N
WLR001BYD002,Battery Replacement,Seal,Electrical,Battery,Y
WLR002BYD002,Motor Repair,Seal,Mechanical,Motor,N
WLR003BYD002,Inverter Replacement,Seal,Electrical,Inverter,N
WLR004BYD002,Charging Port Repair,Seal,Electrical,Charging Port,N
WLR005BYD002,DC-DC Converter Replacement,Seal,Electrical,DC-DC Converter,N
WLR006BYD002,BMS Calibration,Seal,Electrical,BMS,Y
WLR007BYD002,Power Electronics Repair,Seal,Electrical,Power Electronics,N
WLR008BYD002,Thermal Management Service,Seal,Thermal Management,Thermal Management,N
WLR009BYD002,Regenerative Braking Adjustment,Seal,Electrical,Regenerative Braking,N
WLR010BYD002,Onboard Charger Repair,Seal,Electrical,Onboard Charger,N
WLR011BYD002,Drive unity Maintenance,Seal,Mechanical,Drive Unit,N
WLR012BYD002,Gearbox Service,Seal,Mechanical,Gearbox,N
WLR013BYD002,Heat Pump Repair,Seal,Thermal Management,Heat Pump,N
WLR014BYD002,AC Compressor Service,Seal,Thermal Management,AC Compressor,N
WLR015BYD002,Water Pump Replacement,Seal,Cooling System,Water Pump,N
WLR016BYD002,Brake System Service,Seal,Brake System,Brake System,N
WLR017BYD002,Suspension Repair,Seal,Suspension,Suspension,N
WLR018BYD002,Headlight Alignment,Seal,Lighting,Headlight,N
WLR019BYD002,Windshield Replacement,Seal,Body,Windshield,N
WLR020BYD002,Fuse Replacement,Seal,Electrical,Fuse,N
WLR001BYD003,Battery Replacement,Yuan,Electrical,Battery,Y
WLR002BYD003,Motor Repair,Yuan,Mechanical,Motor,N
WLR003BYD003,Inverter Replacement,Yuan,Electrical,Inverter,N
WLR004BYD003,Charging Port Repair,Yuan,Electrical,Charging Port,N
WLR005BYD003,DC-DC Converter Replacement,Yuan,Electrical,DC-DC Converter,N
WLR006BYD003,BMS Calibration,Yuan,Electrical,BMS,Y
WLR007BYD003,Power Electronics Repair,Yuan,Electrical,Power Electronics,N
WLR008BYD003,Thermal Management Service,Yuan,Thermal Management,Thermal Management,N
WLR009BYD003,Regenerative Braking Adjustment,Yuan,Electrical,Regenerative Braking,N
WLR010BYD003,Onboard Charger Repair,Yuan,Electrical,Onboard Charger,N
WLR011BYD003,Drive unity Maintenance,Yuan,Mechanical,Drive Unit,N
WLR012BYD003,Gearbox Service,Yuan,Mechanical,Gearbox,N
WLR013BYD003,Heat Pump Repair,Yuan,Thermal Management,Heat Pump,N
WLR014BYD003,AC Compressor Service,Yuan,Thermal Management,AC Compressor,N
WLR015BYD003,Water Pump Replacement,Yuan,Cooling System,Water Pump,N
WLR016BYD003,Brake System Service,Yuan,Brake System,Brake System,N
WLR017BYD003,Suspension Repair,Yuan,Suspension,Suspension,N
WLR018BYD003,Headlight Alignment,Yuan,Lighting,Headlight,N
WLR019BYD003,Windshield Replacement,Yuan,Body,Windshield,N
WLR020BYD003,Fuse Replacement,Yuan,Electrical,Fuse,N
WLR001BYD004,Battery Replacement,Han,Electrical,Battery,Y
WLR002BYD004,Motor Repair,Han,Mechanical,Motor,N
WLR003BYD004,Inverter Replacement,Han,Electrical,Inverter,N
WLR004BYD004,Charging Port Repair,Han,Electrical,Charging Port,N
WLR005BYD004,DC-DC Converter Replacement,Han,Electrical,DC-DC Converter,N
WLR006BYD004,BMS Calibration,Han,Electrical,BMS,Y
WLR007BYD004,Power Electronics Repair,Han,Electrical,Power Electronics,N
WLR008BYD004,Thermal Management Service,Han,Thermal Management,Thermal Management,N
