partCode,partName,unity,isPermittedToOrder,permiteedOrderType,sellingPrice,suggestedRetailPrice,warrantyPrice,vehicleSeries,volume,region,sparePartsType,isOemParts,creationDate
PABP0001BYD001,Battery Pack,Piece,Yes,Type2,649.48,320.44,526.78,Dolphin,2.74,Brazil North,OEM,Yes,2024-06-27
PAEM0002BYD001,Electric Motor,Piece,Yes,Type2,886.6,101.07,876.02,Dolphin,7.66,Brazil South,OEM,Yes,2024-04-19
PAIN0003BYD001,Inverter,Piece,No,Type1,953.97,1095.53,273.99,Dolphin,5.4,Brazil Central-West,OEM,Yes,2024-06-02
PACP0004BYD001,Charging Port,Piece,No,Type2,508.37,1184.47,470.51,Dolphin,8.95,Brazil Central-West,OEM,Yes,2024-05-24
PADC0005BYD001,DC-DC Converter,Piece,Yes,Type2,157.97,936.48,725.25,Dolphin,3.0,Brazil Central-West,OEM,Yes,2024-05-01
PABMS006BYD001,Battery Management System (BMS),Piece,Yes,Type1,378.45,519.5,809.12,Dolphin,8.64,Brazil North,OEM,Yes,2024-04-16
PAPEC007BYD001,Power Electronics Controller,Piece,Yes,Type1,439.18,543.5,459.96,Dolphin,8.86,Brazil North,OEM,Yes,2024-01-02
PATMS008BYD001,Thermal Management System,Piece,No,Type1,975.32,797.64,245.69,Dolphin,9.69,Brazil South,OEM,Yes,2024-06-30
PARBS009BYD001,Regenerative Braking System,Piece,Yes,Type1,297.44,379.34,875.45,Dolphin,1.21,Brazil Central-West,OEM,Yes,2024-02-12
PAOC0100BYD001,Onboard Charger,Piece,No,Type2,706.77,230.22,234.93,Dolphin,1.23,Brazil South,OEM,Yes,2024-07-09
PAHVC011BYD001,High Voltage Cables,Piece,Yes,Type1,931.82,943.88,587.3,Dolphin,5.56,Brazil Central-West,OEM,Yes,2024-02-23
PAEDU012BYD001,Electric Drive unity,Piece,No,Type1,106.91,921.9,663.48,Dolphin,4.07,Brazil Northeast,OEM,Yes,2024-05-08
PARG0130BYD001,Reduction Gear,Piece,No,Type2,491.42,931.44,558.21,Dolphin,7.94,Brazil Central-West,OEM,Yes,2024-01-09
PAHP0140BYD001,Heat Pump,Piece,Yes,Type1,259.75,1102.42,353.98,Dolphin,6.76,Brazil Southeast,OEM,Yes,2024-04-25
PAEAC015BYD001,Electric Air Conditioning Compressor,Piece,No,Type1,143.39,480.04,281.44,Dolphin,1.83,Brazil North,OEM,Yes,2024-01-24
