roPartId ,dealerOrderId,partCode,partQuantity,mainPartFlag,downPartSerialNumber,upPartSerialNumber,createBy,createDate,updateBy,updateDate
0000000001,000001,PABP0001BYD002,1.0,00867533,,,9999999999,2024-04-17,9999999988,2024-06-01
0000000002,000002,PATMS008BYD001,1.0,00825308,,,9999999999,2024-07-04,9999999988,2024-07-09
0000000003,000003,PACP0004BYD001,1.0,00015456,,,9999999999,2024-02-04,9999999988,2024-02-29
0000000004,000004,PACAF034BYD003,1.0,00196635,,,9999999999,2024-03-09,9999999988,2024-06-24
0000000005,000005,PASC0260BYD001,2.0,00145582,,,9999999999,2024-02-09,9999999988,2024-04-13
0000000006,000006,PACAF034BYD003,1.0,00605756,,,9999999999,2024-03-25,9999999988,2024-05-02
0000000007,000007,PAWS0210BYD001,1.0,00362709,,,9999999999,2024-01-01,9999999988,2024-01-10
0000000008,000008,PASC0260BYD001,2.0,00443430,,,9999999999,2024-01-04,9999999988,2024-01-09
0000000009,000009,PASC0260BYD001,1.0,00155855,,,9999999999,2024-05-18,9999999988,2024-06-13
0000000010,000010,PABP0001BYD002,1.0,00279302,,,9999999999,2024-04-26,9999999988,2024-05-28
0000000011,000011,PACP0004BYD001,1.0,00935866,,,9999999999,2024-05-20,9999999988,2024-06-29
0000000012,000012,PASC0260BYD001,4.0,00346477,,,9999999999,2024-06-19,9999999988,2024-07-03
0000000013,000013,PACAF034BYD005,1.0,00540920,,,9999999999,2024-06-05,9999999988,2024-06-30
0000000014,000014,PASC0260BYD001,1.0,00420477,,,9999999999,2024-03-04,9999999988,2024-05-15
0000000015,000015,PASC0260BYD001,1.0,00115988,,,9999999999,2024-05-10,9999999988,2024-05-10
0000000016,000016,PAHVC011BYD001,1.0,00102540,,,9999999999,2024-01-26,9999999988,2024-03-29
0000000017,000017,PACP0004BYD001,1.0,00745672,,,9999999999,2024-05-18,9999999988,2024-05-27
0000000018,000018,PACL0310BYD001,2.0,00871451,,,9999999999,2024-03-25,9999999988,2024-07-14
0000000019,000019,PACP0004BYD001,1.0,00939331,,,9999999999,2024-06-11,9999999988,2024-07-13
0000000020,000020,PASC0260BYD003,1.0,00657764,,,9999999999,2024-05-06,9999999988,2024-06-22
0000000021,000021,PAPEC007BYD001,1.0,00402195,,,9999999999,2024-05-25,9999999988,2024-07-04
0000000022,000022,PASC0260BYD001,1.0,00603801,,,9999999999,2024-03-08,9999999988,2024-07-03
0000000023,000023,PACP0004BYD001,1.0,00952379,,,9999999999,2024-02-22,9999999988,2024-04-24
0000000024,000024,PACP0004BYD003,1.0,00759640,,,9999999999,2024-06-11,9999999988,2024-07-24
0000000025,000025,PABP0001BYD002,1.0,00354906,,,9999999999,2024-03-10,9999999988,2024-06-06
0000000026,000026,PACP0004BYD001,1.0,00556216,,,9999999999,2024-04-14,9999999988,2024-07-14
0000000027,000027,PACP0004BYD001,1.0,00061247,,,9999999999,2024-04-06,9999999988,2024-05-07
0000000028,000028,PACP0004BYD001,1.0,00846827,,,9999999999,2024-04-30,9999999988,2024-06-15
0000000029,000029,PABP0001BYD002,1.0,00478582,,,9999999999,2024-06-24,9999999988,2024-07-17
0000000030,000030,PASC0260BYD001,4.0,00230581,,,9999999999,2024-04-24,9999999988,2024-04-24
0000000031,000031,PABP0001BYD003,1.0,00567548,,,9999999999,2024-06-05,9999999988,2024-07-07
0000000032,000032,PACAF034BYD003,1.0,00541458,,,9999999999,2024-07-08,9999999988,2024-07-08
0000000033,000033,PAHVC011BYD001,3.0,00255614,,,9999999999,2024-04-21,9999999988,2024-06-27
0000000034,000034,PACP0004BYD001,1.0,00268285,,,9999999999,2024-01-30,9999999988,2024-06-06
0000000035,000035,PASC0260BYD001,3.0,00539758,,,9999999999,2024-01-16,9999999988,2024-03-01
0000000036,000036,PACP0004BYD004,1.0,00755839,,,9999999999,2024-05-12,9999999988,2024-06-01
0000000037,000037,PACP0004BYD001,1.0,00441596,,,9999999999,2024-06-04,9999999988,2024-07-07
0000000038,000038,PAHVC011BYD003,1.0,00535047,,,9999999999,2024-05-25,9999999988,2024-05-30
0000000039,000039,PASC0260BYD001,2.0,00530497,,,9999999999,2024-01-29,9999999988,2024-07-05
0000000040,000040,PASC0260BYD001,1.0,00707974,,,9999999999,2024-06-30,9999999988,2024-07-24
0000000041,000041,PACP0004BYD003,1.0,00358701,,,9999999999,2024-01-13,9999999988,2024-04-05
0000000042,000042,PAPEC007BYD001,1.0,00298714,,,9999999999,2024-05-02,9999999988,2024-05-18
0000000043,000043,PASC0260BYD001,2.0,00826217,,,9999999999,2024-05-05,9999999988,2024-05-29
0000000044,000044,PASC0260BYD001,1.0,00739204,,,9999999999,2024-02-05,9999999988,2024-05-21
0000000045,000045,PABMS006BYD003,1.0,00345830,,,9999999999,2024-01-11,9999999988,2024-06-29
0000000046,000046,PABP0001BYD002,1.0,00187969,,,9999999999,2024-07-18,9999999988,2024-07-25
0000000047,000047,PASC0260BYD001,4.0,00003364,,,9999999999,2024-03-13,9999999988,2024-06-30
0000000048,000048,PASC0260BYD001,2.0,00434343,,,9999999999,2024-02-06,9999999988,2024-05-01
0000000049,000049,PACP0004BYD001,1.0,00965605,,,9999999999,2024-02-25,9999999988,2024-03-08
0000000050,000050,PABP0001BYD003,1.0,00861368,,,9999999999,2024-05-18,9999999988,2024-06-16
0000000051,000051,PACP0004BYD002,1.0,00828547,,,9999999999,2024-07-21,9999999988,2024-07-21
0000000052,000052,PATMS008BYD005,1.0,00723997,,,9999999999,2024-04-18,9999999988,2024-06-07
0000000053,000053,PASC0260BYD001,3.0,00415717,,,9999999999,2024-06-06,9999999988,2024-06-20
0000000054,000054,PASC0260BYD001,3.0,00749148,,,9999999999,2024-04-18,9999999988,2024-04-18
0000000055,000055,PABP0001BYD002,1.0,00802613,,,9999999999,2024-03-28,9999999988,2024-06-03
0000000056,000056,PACP0004BYD001,1.0,00201742,,,9999999999,2024-06-29,9999999988,2024-07-21
0000000057,000057,PATMS008BYD004,1.0,00217482,,,9999999999,2024-04-04,9999999988,2024-06-24
0000000058,000058,PASC0260BYD001,2.0,00406471,,,9999999999,2024-05-26,9999999988,2024-07-24
0000000059,000059,PACP0004BYD001,1.0,00281151,,,9999999999,2024-01-03,9999999988,2024-03-16
0000000060,000060,PAPEC007BYD001,1.0,00599399,,,9999999999,2024-04-06,9999999988,2024-05-08
0000000061,000061,PASC0260BYD001,3.0,00226586,,,9999999999,2024-04-13,9999999988,2024-05-07
