roSalePartId,dealerOrderId,partCode,partQuantity,createBy,createDate,updateBy,updateDate
0000000001,000001,PABP0001BYD002,1.0,9999999999,2024-04-17,9999999988,2024-05-21
0000000002,000002,PATMS008BYD001,1.0,9999999999,2024-07-04,9999999988,2024-07-22
0000000003,000003,PACP0004BYD001,1.0,9999999999,2024-02-04,9999999988,2024-05-12
0000000004,000004,PACAF034BYD003,1.0,9999999999,2024-03-09,9999999988,2024-04-28
0000000005,000005,PASC0260BYD001,2.0,9999999999,2024-02-09,9999999988,2024-06-04
0000000006,000006,PACAF034BYD003,1.0,9999999999,2024-03-25,9999999988,2024-05-07
0000000007,000007,PAWS0210BYD001,1.0,9999999999,2024-01-01,9999999988,2024-05-22
0000000008,000008,PASC0260BYD001,2.0,9999999999,2024-01-04,9999999988,2024-03-06
0000000009,000009,PASC0260BYD001,1.0,9999999999,2024-05-18,9999999988,2024-05-31
0000000010,000010,PABP0001BYD002,1.0,9999999999,2024-04-26,9999999988,2024-05-22
0000000011,000011,PACP0004BYD001,1.0,9999999999,2024-05-20,9999999988,2024-06-30
0000000012,000012,PASC0260BYD001,4.0,9999999999,2024-06-19,9999999988,2024-07-17
0000000013,000013,PACAF034BYD005,1.0,9999999999,2024-06-05,9999999988,2024-06-09
0000000014,000014,PASC0260BYD001,1.0,9999999999,2024-03-04,9999999988,2024-05-23
0000000015,000015,PASC0260BYD001,1.0,9999999999,2024-05-10,9999999988,2024-05-26
0000000016,000016,PAHVC011BYD001,1.0,9999999999,2024-01-26,9999999988,2024-05-09
0000000017,000017,PACP0004BYD001,1.0,9999999999,2024-05-18,9999999988,2024-06-02
0000000018,000018,PACL0310BYD001,2.0,9999999999,2024-03-25,9999999988,2024-05-13
0000000019,000019,PACP0004BYD001,1.0,9999999999,2024-06-11,9999999988,2024-07-25
0000000020,000020,PASC0260BYD003,1.0,9999999999,2024-05-06,9999999988,2024-05-07
0000000021,000021,PAPEC007BYD001,1.0,9999999999,2024-05-25,9999999988,2024-06-08
0000000022,000022,PASC0260BYD001,1.0,9999999999,2024-03-08,9999999988,2024-05-03
0000000023,000023,PACP0004BYD001,1.0,9999999999,2024-02-22,9999999988,2024-06-17
0000000024,000024,PACP0004BYD003,1.0,9999999999,2024-06-11,9999999988,2024-07-02
0000000025,000025,PABP0001BYD002,1.0,9999999999,2024-03-10,9999999988,2024-04-22
0000000026,000026,PACP0004BYD001,1.0,9999999999,2024-04-14,9999999988,2024-07-21
0000000027,000027,PACP0004BYD001,1.0,9999999999,2024-04-06,9999999988,2024-07-24
0000000028,000028,PACP0004BYD001,1.0,9999999999,2024-04-30,9999999988,2024-07-05
0000000029,000029,PABP0001BYD002,1.0,9999999999,2024-06-24,9999999988,2024-07-19
0000000030,000030,PASC0260BYD001,4.0,9999999999,2024-04-24,9999999988,2024-06-12
0000000031,000031,PABP0001BYD003,1.0,9999999999,2024-06-05,9999999988,2024-07-06
0000000032,000032,PACAF034BYD003,1.0,9999999999,2024-07-08,9999999988,2024-07-24
0000000033,000033,PAHVC011BYD001,3.0,9999999999,2024-04-21,9999999988,2024-07-10
0000000034,000034,PACP0004BYD001,1.0,9999999999,2024-01-30,9999999988,2024-05-26
0000000035,000035,PASC0260BYD001,3.0,9999999999,2024-01-16,9999999988,2024-03-24
0000000036,000036,PACP0004BYD004,1.0,9999999999,2024-05-12,9999999988,2024-05-16
0000000037,000037,PACP0004BYD001,1.0,9999999999,2024-06-04,9999999988,2024-07-13
0000000038,000038,PAHVC011BYD003,1.0,9999999999,2024-05-25,9999999988,2024-07-11
0000000039,000039,PASC0260BYD001,2.0,9999999999,2024-01-29,9999999988,2024-04-26
0000000040,000040,PASC0260BYD001,1.0,9999999999,2024-06-30,9999999988,2024-07-24
0000000041,000041,PACP0004BYD003,1.0,9999999999,2024-01-13,9999999988,2024-02-05
0000000042,000042,PAPEC007BYD001,1.0,9999999999,2024-05-02,9999999988,2024-05-04
0000000043,000043,PASC0260BYD001,2.0,9999999999,2024-05-05,9999999988,2024-06-05
0000000044,000044,PASC0260BYD001,1.0,9999999999,2024-02-05,9999999988,2024-03-12
0000000045,000045,PABMS006BYD003,1.0,9999999999,2024-01-11,9999999988,2024-04-04
0000000046,000046,PABP0001BYD002,1.0,9999999999,2024-07-18,9999999988,2024-07-22
0000000047,000047,PASC0260BYD001,4.0,9999999999,2024-03-13,9999999988,2024-05-25
0000000048,000048,PASC0260BYD001,2.0,9999999999,2024-02-06,9999999988,2024-04-12
0000000049,000049,PACP0004BYD001,1.0,9999999999,2024-02-25,9999999988,2024-05-13
0000000050,000050,PABP0001BYD003,1.0,9999999999,2024-05-18,9999999988,2024-07-07
0000000051,000051,PACP0004BYD002,1.0,9999999999,2024-07-21,9999999988,2024-07-25
0000000052,000052,PATMS008BYD005,1.0,9999999999,2024-04-18,9999999988,2024-07-16
0000000053,000053,PASC0260BYD001,3.0,9999999999,2024-06-06,9999999988,2024-07-04
0000000054,000054,PASC0260BYD001,3.0,9999999999,2024-04-18,9999999988,2024-07-16
0000000055,000055,PABP0001BYD002,1.0,9999999999,2024-03-28,9999999988,2024-07-16
