DEALER_CODE,DEALER_NAME,PASSED_TRAINING,CONTACT_NUMBER,COUNTRY,STATE,CITY,ADDRESS
000001,Caldeira Rodrigues e Filhos,Y,5541923964407,Brazil,Ceará,Sobral,"Quadra Bento Borges, 68 Sport Club 42980-554 Teixeira / MA"
000002,Rocha Nogueira e Filhos,N,5561923707246,Brazil,São Paulo,São Paulo,"Vila de Jesus, 3 Vila Havaí 11364-247 Guerra / DF"
000003,Guerra,Y,5584930175366,Brazil,Amazonas,Itacoatiara,Setor Nathan Montenegro Ermelinda 73713-556 da Costa de Moreira / SP
000004,Moraes Brito e Filhos,Y,5571964957883,Brazil,São Paulo,Ribeirão Preto,"Núcleo Noah Barros, 39 Boa Esperança 31068-596 Moreira / CE"
000005,Vasconcelos,Y,5511938706183,Brazil,Rio Grande do Sul,Caxias do Sul,"Parque de Sousa, 33 Gutierrez 22526-855 Gonçalves da Serra / PB"
000006,Peixoto Aragão S/A,Y,5581943109773,Brazil,São Paulo,São Paulo,"Vila Nunes, 94 Baleia 08876-315 da Cruz do Oeste / PI"
000007,Araújo S.A.,N,5584985876721,Brazil,Amazonas,Parintins,"Vale de da Mota, 92 Vila De Sá 99548687 Teixeira dos Dourados / SP"
000008,Leão,Y,5521969290332,Brazil,Goiás,Goiânia,"Viela de Porto, 678 Copacabana 96653869 Correia / MS"
000009,Silva,Y,5511930754526,Brazil,Rio Grande do Sul,Porto Alegre,"Esplanada de Cirino, 19 Piratininga 49423163 Vargas / PA"
000010,Sousa,Y,5541948986207,Brazil,Amazonas,Itacoatiara,Esplanada Stephany Moraes Comiteco 60804-555 da Cruz / GO
000011,Cavalcante Porto - EI,N,5541924767205,Brazil,São Paulo,Ribeirão Preto,"Favela Pinto, 3 Jardim São José 38901020 Peixoto de Cavalcanti / BA"
000012,da Rosa,Y,5541958195059,Brazil,Ceará,Juazeiro do Norte,Lago Théo Mendes Santo Agostinho 28471175 Carvalho da Mata / MT
000013,da Rosa Ltda.,Y,5561960229604,Brazil,Bahia,Salvador,"Favela Luana da Luz, 82 Vila São Rafael 56003673 Rezende de Goiás / MT"
000014,Nunes,Y,5551964218606,Brazil,São Paulo,Santos,"Viaduto Azevedo, 393 Liberdade 99906-712 Aparecida de da Conceição / RS"
000015,Montenegro Castro e Filhos,Y,5581951492719,Brazil,Ceará,Sobral,"Setor de Nogueira, 972 Padre Eustáquio 88598-612 Melo de Goiás / PA"
000016,Santos e Filhos,N,5511926289626,Brazil,São Paulo,Campinas,"Distrito Rios, 37 Santa Isabel 03040805 Rodrigues / TO"
000017,Moreira,Y,5541915433216,Brazil,Amazonas,Parintins,"Quadra de das Neves, 12 Santa Rosa 89165706 Gonçalves da Serra / DF"
000018,Sales S.A.,Y,5584947957413,Brazil,Amazonas,Manaus,"Loteamento Vitor Hugo Rios, 72 Pilar 43430-205 Novaes Grande / RS"
000019,Nascimento Porto - ME,N,5541901131064,Brazil,Amazonas,Itacoatiara,"Trevo da Conceição, 97 Parque São Pedro 75243-580 Cunha de Cavalcanti / RN"
000020,Brito,N,5584909114585,Brazil,São Paulo,São Paulo,"Vale Cavalcante, 474 Vila Das Oliveiras 91960-179 Pires de Teixeira / SE"
000021,Leão Borges Ltda.,Y,5551902585497,Brazil,Espírito Santo,Vitória,"Travessa Matteo Monteiro, 2 Jaqueline 75319572 Nascimento Verde / DF"
000022,Cunha - ME,Y,5581927400323,Brazil,Amazonas,Parintins,"Estrada Porto, 84 Santa Maria 34361-216 Barros do Sul / RR"
000023,Carvalho - ME,Y,5551963871182,Brazil,São Paulo,Campinas,"Travessa Pires, 45 Vila Independencia 3ª Seção 62472641 Cardoso Grande / TO"
000024,Gomes Aparecida - ME,Y,5551991658804,Brazil,Mato Grosso,Rondonópolis,Aeroporto de Novais Centro 49770-184 da Mota / PR
000025,Albuquerque Monteiro S/A,Y,5561972112620,Brazil,Amazonas,Manaus,"Via Cavalcante, 22 Vila Califórnia 29294382 Correia do Sul / AC"
000026,Araújo Novaes S/A,Y,5551915951359,Brazil,Amazonas,Parintins,"Largo Maria Flor Albuquerque, 684 Marçola 06902497 Viana / MA"
000027,Camargo S.A.,Y,5581900963567,Brazil,Amazonas,Manaus,"Praia Casa Grande, 288 Ambrosina 07151-203 Cavalcanti / AP"
000028,Marques,N,5531958939937,Brazil,Amazonas,Itacoatiara,"Favela de Albuquerque, 9 Coração Eucarístico 36020245 Araújo / PR"
000029,Moraes Silveira Ltda.,N,5561945291070,Brazil,São Paulo,Ribeirão Preto,"Viaduto Costela, 22 São Sebastião 54294405 Viana dos Dourados / MT"
000030,Cavalcanti Sousa - EI,Y,5584926331899,Brazil,São Paulo,São José dos Campos,"Viela de da Mata, 3 Carlos Prates 24732995 da Costa / PI"
000031,Rios e Filhos,Y,5521930053070,Brazil,Ceará,Fortaleza,"Conjunto de Farias, 83 Ademar Maldonado 99475665 Andrade do Campo / AC"
000032,Cirino,Y,5541911246018,Brazil,Distrito Federal,Brasília,"Trecho de Pimenta, 23 Vila Fumec 29021919 Moreira dos Dourados / SE"
000033,Albuquerque,N,5531939376996,Brazil,Amazonas,Itacoatiara,"Rua de Alves, 36 Vila Calafate 13135-622 Barros / PR"
000034,Farias S/A,Y,5581916813158,Brazil,São Paulo,Campinas,"Viaduto Ana Júlia da Luz, 70 Leonina 59563125 Novaes / RN"
000035,Viana Ltda.,N,5521968806281,Brazil,Rio Grande do Sul,Pelotas,"Núcleo de da Paz, 8 Nova Suíça 00690-348 Vasconcelos dos Dourados / MA"
000036,Costela e Filhos,Y,5571917527415,Brazil,Minas Gerais,Uberlândia,"Sítio Barros, 23 Providencia 04316471 Teixeira da Serra / MT"
000037,Brito S/A,N,5581939563033,Brazil,Amazonas,Parintins,"Loteamento Raquel Sá, 425 Rio Branco 95990050 Rios de Nascimento / PI"
000038,Montenegro,Y,5584940181960,Brazil,Espírito Santo,Vila Velha,"Aeroporto Câmara, 6 Alto Dos Pinheiros 79649-074 Moura do Amparo / PR"
000039,Jesus,Y,5584983475592,Brazil,Minas Gerais,Belo Horizonte,"Condomínio Oliveira, 6 Conjunto Bonsucesso 88467-770 Pires / PA"
000040,Viana e Filhos,Y,5584954560042,Brazil,São Paulo,Santos,"Loteamento Nicolas Peixoto, 19 Alípio De Melo 82876-888 Cassiano / MG"
000041,da Conceição - ME,N,5511983357189,Brazil,São Paulo,Ribeirão Preto,"Vereda Maria Sophia Mendonça, 74 Vila Jardim Alvorada 29755-172 da Rocha / RN"
000042,Sousa Costa S.A.,Y,5571952900890,Brazil,Espírito Santo,Vila Velha,"Praça de Vargas, 97 Buraco Quente 62758847 Lima do Sul / SC"
000043,Dias - ME,N,5531967113108,Brazil,Amazonas,Parintins,"Viaduto Andrade, 21 Bonsucesso 13849979 Pimenta / RJ"
000044,Almeida Sampaio Ltda.,N,5541975177508,Brazil,Mato Grosso,Sinop,Recanto Sousa Vila São Paulo 17800131 Alves Grande / MS
000045,Campos Ltda.,N,5541934969583,Brazil,São Paulo,Ribeirão Preto,Trecho de Pimenta Saudade 49975573 Rodrigues Alegre / MG
000046,Silveira S.A.,N,5571975741815,Brazil,Paraná,Londrina,"Trevo de Ramos, 6 Nova Gameleira 23098-729 da Costa do Galho / RJ"
000047,Cassiano,Y,5511998770962,Brazil,Paraná,Maringá,Aeroporto Barbosa Vila Jardim Alvorada 29854724 Sales Alegre / DF
000048,Ferreira,Y,5521906887793,Brazil,São Paulo,Jundiaí,"Viaduto da Luz, 49 Vila Satélite 85698-401 Cardoso do Galho / RO"
000049,Araújo Barbosa S.A.,Y,5541988877815,Brazil,Espírito Santo,Vila Velha,"Praia Borges, 2 Vila Califórnia 27417-298 Moraes Grande / RR"
000050,Sousa Barbosa S/A,Y,5511944737893,Brazil,Ceará,Juazeiro do Norte,"Favela Letícia Moraes, 421 Vila Cemig 43422-451 Freitas / RO"
