PART_CODE,PART_NAME,UNIT,IS_PERMITTED_TO_ORDER,PERMITTED_ORDER_TYPE,SELLING_PRICE,SUGGESTED_RETAIL_PRICE,WARRANTY_PRICE,VEHICLE_SERIES,VOLUME,REGION,SPARE_PARTS_TYPE,IS_OEM_PARTS,CREATION_DATE
PABP0001BYD001,Battery Pack,Piece,No,Type1,628.63,1153.44,543.05,Dolphin,6.96,Brazil Southeast,OEM,Yes,2024-02-06
PAEM0002BYD001,Electric Motor,Piece,Yes,Type2,378.47,722.07,131.65,Dolphin,8.26,Brazil Southeast,OEM,Yes,2024-02-23
PAIN0003BYD001,Inverter,Piece,No,Type2,382.55,449.5,42.6,Dolphin,5.09,Brazil Northeast,OEM,Yes,2024-01-23
PACP0004BYD001,Charging Port,Piece,Yes,Type2,35.78,337.15,872.5,Dolphin,1.74,Brazil Southeast,OEM,Yes,2024-02-23
PADC0005BYD001,DC-DC Converter,Piece,Yes,Type2,347.4,930.81,355.46,Dolphin,1.71,Brazil Northeast,OEM,Yes,2024-08-04
PABMS006BYD001,Battery Management System (BMS),Piece,No,Type1,208.41,1194.66,239.46,Dolphin,9.11,Brazil South,OEM,Yes,2024-03-18
PAPEC007BYD001,Power Electronics Controller,Piece,No,Type1,191.94,997.77,404.8,Dolphin,9.06,Brazil South,OEM,Yes,2024-01-03
PATMS008BYD001,Thermal Management System,Piece,No,Type1,780.32,322.14,779.58,Dolphin,4.31,Brazil Central-West,OEM,Yes,2024-01-13
PARBS009BYD001,Regenerative Braking System,Piece,Yes,Type2,489.42,240.3,720.18,Dolphin,7.16,Brazil South,OEM,Yes,2024-06-06
PAOC0100BYD001,Onboard Charger,Piece,No,Type2,699.62,726.87,360.82,Dolphin,2.4,Brazil Central-West,OEM,Yes,2024-08-04
PAHVC011BYD001,High Voltage Cables,Piece,Yes,Type1,681.49,1050.04,885.36,Dolphin,9.53,Brazil South,OEM,Yes,2024-07-09
PAEDU012BYD001,Electric Drive unity,Piece,No,Type2,85.58,990.27,373.19,Dolphin,9.37,Brazil Central-West,OEM,Yes,2024-02-11
PARG0130BYD001,Reduction Gear,Piece,Yes,Type2,695.6,374.23,669.79,Dolphin,3.94,Brazil Southeast,OEM,Yes,2024-07-02
PAHP0140BYD001,Heat Pump,Piece,No,Type1,470.33,346.85,226.73,Dolphin,2.45,Brazil North,OEM,Yes,2024-08-05
PAEAC015BYD001,Electric Air Conditioning Compressor,Piece,Yes,Type2,20.35,317.02,314.06,Dolphin,6.62,Brazil South,OEM,Yes,2024-05-14
PAEWP016BYD001,Electric Water Pump,Piece,Yes,Type1,992.15,986.8,370.67,Dolphin,2.23,Brazil South,OEM,Yes,2024-05-13
PABP0170BYD001,Brake Pads,Piece,No,Type2,172.53,259.86,696.88,Dolphin,3.68,Brazil South,OEM,Yes,2024-02-07
PABD0180BYD001,Brake Discs,Piece,No,Type2,307.27,1130.52,748.03,Dolphin,5.02,Brazil Southeast,OEM,Yes,2024-01-02
PATI0190BYD001,Tires,Piece,No,Type2,123.98,934.64,139.02,Dolphin,4.9,Brazil South,OEM,Yes,2024-04-03
PAWB0200BYD001,Wheel Bearings,Piece,No,Type2,550.64,1029.07,222.7,Dolphin,7.88,Brazil Northeast,OEM,Yes,2024-03-29
PAWS0210BYD001,Windshield,Piece,Yes,Type2,990.94,29.37,319.98,Dolphin,7.81,Brazil North,OEM,Yes,2024-07-12
PAMI0220BYD001,Mirrors,Piece,Yes,Type1,880.95,85.74,562.56,Dolphin,2.59,Brazil North,OEM,Yes,2024-04-30
PAHL0230BYD001,Headlights,Piece,No,Type2,115.54,200.76,752.83,Dolphin,2.61,Brazil Southeast,OEM,Yes,2024-04-16
PATL0240BYD001,Taillights,Piece,No,Type2,993.07,45.78,625.85,Dolphin,6.48,Brazil South,OEM,Yes,2024-03-28
PAWB0250BYD001,Wiper Blades,Piece,Yes,Type1,932.36,719.05,548.79,Dolphin,4.15,Brazil North,OEM,Yes,2024-01-04
PASC0260BYD001,"Suspension Components (Shocks, Struts)",Piece,No,Type1,348.01,940.81,365.98,Dolphin,4.67,Brazil North,OEM,Yes,2024-07-11
PACA0270BYD001,Control Arms,Piece,No,Type1,485.82,843.49,117.59,Dolphin,5.0,Brazil Northeast,OEM,Yes,2024-05-17
PATRE028BYD001,Tie Rod Ends,Piece,Yes,Type1,614.86,1195.45,794.25,Dolphin,9.46,Brazil Northeast,OEM,Yes,2024-07-16
PACVJ029BYD001,CV Joints,Piece,No,Type2,592.32,642.8,474.47,Dolphin,5.74,Brazil South,OEM,Yes,2024-05-12
PAAX0300BYD001,Axles,Piece,No,Type1,688.47,620.4,818.23,Dolphin,8.98,Brazil South,OEM,Yes,2024-02-05
PACL0310BYD001,Coolant (for thermal management),Piece,Yes,Type1,614.83,424.04,172.24,Dolphin,9.01,Brazil North,OEM,Yes,2024-01-31
PABF0320BYD001,Brake Fluid,Piece,No,Type2,377.64,918.65,735.72,Dolphin,4.63,Brazil South,OEM,Yes,2024-04-28
PAPSF033BYD001,Power Steering Fluid (if applicable),Piece,Yes,Type2,989.37,775.24,666.13,Dolphin,0.61,Brazil Southeast,OEM,Yes,2024-08-10
PACAF034BYD001,Cabin Air Filter,Piece,Yes,Type2,390.02,257.95,411.06,Dolphin,6.57,Brazil Central-West,OEM,Yes,2024-06-13
PAFB0350BYD001,Fuse Box,Piece,No,Type2,417.46,32.54,699.31,Dolphin,3.35,Brazil Southeast,OEM,Yes,2024-03-28
PAAB0360BYD001,12V Auxiliary Battery,Piece,Yes,Type2,494.7,956.34,73.6,Dolphin,9.26,Brazil Northeast,OEM,Yes,2024-05-22
PABP0001BYD002,Battery Pack,Piece,No,Type1,903.3,314.8,712.05,Seal,2.38,Brazil Northeast,OEM,Yes,2024-05-28
PAEM0002BYD002,Electric Motor,Piece,Yes,Type1,444.23,193.52,534.95,Seal,7.83,Brazil Central-West,OEM,Yes,2024-02-26
PAIN0003BYD002,Inverter,Piece,No,Type2,496.28,703.82,445.3,Seal,3.07,Brazil South,OEM,Yes,2024-03-30
PACP0004BYD002,Charging Port,Piece,Yes,Type2,969.6,498.98,644.86,Seal,9.36,Brazil North,OEM,Yes,2024-04-21
PADC0005BYD002,DC-DC Converter,Piece,Yes,Type2,473.41,948.67,287.24,Seal,6.14,Brazil North,OEM,Yes,2024-03-18
PABMS006BYD002,Battery Management System (BMS),Piece,Yes,Type1,59.78,678.85,520.66,Seal,3.33,Brazil Northeast,OEM,Yes,2024-07-05
PAPEC007BYD002,Power Electronics Controller,Piece,No,Type2,945.82,868.83,527.9,Seal,8.15,Brazil Southeast,OEM,Yes,2024-05-19
PATMS008BYD002,Thermal Management System,Piece,No,Type1,310.55,121.82,256.37,Seal,6.6,Brazil Central-West,OEM,Yes,2024-04-19
