REPAIR_PART_ID ,DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,SN_OF_UNINSTALLED_PART,SN_OF_INSTALLED_PART,REPLACEMENT_DATE,COST,RETAIL_PRICE,DISCOUNT_RATE,PAID_IN_AMOUNT,MAIN_PART_FLAG,CREATE_BY,CREATE_DATE
0000000001,000001,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000063,0000000064,2024-02-02,306.39,920.31,678.46,1599.36,00990580,9999999999,2024-01-12
0000000002,000002,PABP0001BYD001,Battery Pack,1.0,0000000078,0000000088,2024-05-23,212.82,279.14,302.9,4429.6,00456300,9999999999,2024-02-23
0000000003,000003,PABP0170BYD003,Brake Pads,2.0,0000000058,0000000081,2024-06-21,619.21,516.77,504.95,2064.86,00059409,9999999999,2024-03-21
0000000004,000004,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000075,0000000050,2024-08-06,596.39,293.38,746.18,4851.32,00004629,9999999999,2024-01-07
0000000005,000005,PATMS008BYD002,Thermal Management System,1.0,0000000089,0000000075,2024-08-08,683.08,165.37,438.37,1656.11,00740156,9999999999,2024-06-16
0000000006,000006,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000084,0000000093,2024-04-03,782.18,155.87,882.13,1558.77,00395181,9999999999,2024-01-03
0000000007,000007,PACP0004BYD001,Charging Port,1.0,0000000077,0000000076,2024-07-10,150.86,855.48,413.24,3624.43,00486895,9999999999,2024-05-30
0000000008,000008,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000093,0000000071,2024-05-26,100.05,832.1,676.13,2816.88,00924201,9999999999,2024-04-08
0000000009,000009,PATI0190BYD001,Tires,2.0,0000000059,0000000084,2024-08-12,238.45,677.38,430.54,2467.98,00529523,9999999999,2024-08-12
0000000010,000010,PACP0004BYD001,Charging Port,1.0,0000000099,0000000097,2024-07-17,365.47,378.04,280.43,4766.36,00986503,9999999999,2024-03-18
0000000011,000011,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000070,0000000064,2024-06-09,602.15,587.72,650.17,329.76,00977710,9999999999,2024-05-31
0000000012,000012,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000054,0000000055,2024-07-21,978.75,112.62,307.41,1844.53,00218213,9999999999,2024-07-05
0000000013,000013,PABP0170BYD001,Brake Pads,4.0,0000000066,0000000056,2024-07-09,315.36,874.87,959.24,1329.13,00617145,9999999999,2024-07-01
0000000014,000014,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000095,0000000097,2024-07-10,521.15,234.81,496.87,2565.02,00662088,9999999999,2024-02-22
0000000015,000015,PABP0170BYD004,Brake Pads,3.0,0000000055,0000000070,2024-06-30,876.55,316.22,297.27,2403.06,00989658,9999999999,2024-06-02
0000000016,000016,PAHVC011BYD003,High Voltage Cables,3.0,0000000092,0000000097,2024-06-22,214.77,842.71,110.27,1020.22,00750626,9999999999,2024-06-13
0000000017,000017,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000061,0000000065,2024-07-26,237.94,116.54,334.11,137.67,00305399,9999999999,2024-04-30
0000000018,000018,PABMS006BYD001,Battery Management System (BMS),1.0,0000000069,0000000077,2024-07-18,949.48,108.45,333.32,3318.77,00723578,9999999999,2024-04-22
0000000019,000019,PABP0001BYD004,Battery Pack,1.0,0000000050,0000000051,2024-05-20,713.08,288.79,606.03,2303.02,00721845,9999999999,2024-04-11
0000000020,000020,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000097,0000000082,2024-08-07,281.03,815.01,524.08,1459.95,00663204,9999999999,2024-04-03
0000000021,000021,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000065,0000000052,2024-06-19,196.46,219.04,735.92,759.82,00029225,9999999999,2024-03-19
0000000022,000022,PABP0001BYD005,Battery Pack,1.0,0000000089,0000000079,2024-04-30,243.36,132.82,828.44,4501.2,00657669,9999999999,2024-03-11
0000000023,000023,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000058,0000000075,2024-08-11,782.15,849.71,658.52,1671.15,00379315,9999999999,2024-06-26
0000000024,000024,PABMS006BYD004,Battery Management System (BMS),1.0,0000000099,0000000075,2024-06-26,858.01,106.81,555.08,4146.68,00972628,9999999999,2024-06-08
0000000025,000025,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000082,0000000056,2024-08-11,637.2,304.5,724.58,2835.48,00396501,9999999999,2024-07-23
0000000026,000026,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000075,0000000050,2024-07-27,992.98,612.11,439.23,4124.7,00248948,9999999999,2024-06-14
0000000027,000027,PABMS006BYD001,Battery Management System (BMS),1.0,0000000066,0000000072,2024-05-31,525.77,965.67,696.12,4106.65,00283954,9999999999,2024-04-30
0000000028,000028,PASC0260BYD003,"Suspension Components (Shocks, Struts)",4.0,0000000091,0000000086,2024-06-29,224.38,196.88,560.54,1291.51,00058101,9999999999,2024-03-04
0000000029,000029,PACP0004BYD001,Charging Port,1.0,0000000062,0000000067,2024-05-02,253.01,871.86,920.64,4709.81,00669906,9999999999,2024-03-22
0000000030,000030,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,0000000068,0000000080,2024-07-30,223.07,611.15,279.13,4892.78,00755136,9999999999,2024-02-20
0000000031,000031,PATMS008BYD005,Thermal Management System,1.0,0000000095,0000000086,2024-07-08,773.68,909.98,311.61,3197.79,00764929,9999999999,2024-05-14
0000000032,000032,PAHVC011BYD005,High Voltage Cables,4.0,0000000059,0000000076,2024-08-13,649.66,941.27,328.52,758.11,00084188,9999999999,2024-08-12
0000000033,000033,PACP0004BYD003,Charging Port,1.0,0000000077,0000000077,2024-05-09,794.5,892.03,338.15,3170.5,00223961,9999999999,2024-03-02
0000000034,000034,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000081,0000000064,2024-05-03,596.52,773.59,478.98,3299.72,00157136,9999999999,2024-02-10
0000000035,000035,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000059,0000000057,2024-05-28,431.95,528.68,942.17,4797.59,00652132,9999999999,2024-04-08
0000000036,000036,PABP0001BYD004,Battery Pack,1.0,0000000084,0000000064,2024-07-05,696.6,384.05,633.91,4111.2,00024633,9999999999,2024-04-21
0000000037,000037,PAPEC007BYD005,Power Electronics Controller,1.0,0000000066,0000000059,2024-04-14,755.36,144.2,337.09,3546.84,00606917,9999999999,2024-03-13
0000000038,000038,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,0000000084,0000000064,2024-05-13,757.23,746.64,684.09,4338.0,00077559,9999999999,2024-04-18
0000000039,000039,PACL0310BYD002,Coolant (for thermal management),3.0,0000000073,0000000053,2024-08-02,235.76,880.41,426.36,2094.02,00779149,9999999999,2024-05-24
0000000040,000040,PACAF034BYD003,Cabin Air Filter,1.0,0000000051,0000000074,2024-08-05,387.34,241.88,131.25,1755.34,00191544,9999999999,2024-06-09
0000000041,000041,PATMS008BYD003,Thermal Management System,1.0,0000000085,0000000088,2024-06-30,299.73,416.86,848.19,321.37,00188952,9999999999,2024-05-09
0000000042,000042,PACAF034BYD003,Cabin Air Filter,1.0,0000000092,0000000096,2024-08-10,484.35,455.16,779.77,3851.4,00757546,9999999999,2024-08-05
0000000043,000043,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,0000000066,0000000060,2024-05-02,393.61,191.01,903.42,1501.75,00602479,9999999999,2024-04-11
0000000044,000044,PACP0004BYD001,Charging Port,1.0,0000000051,0000000053,2024-08-12,454.56,574.95,342.53,2897.13,00684548,9999999999,2024-08-03
0000000045,000045,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000055,0000000075,2024-04-22,349.66,302.08,396.42,2492.81,00820046,9999999999,2024-01-22
0000000046,000046,PAPEC007BYD005,Power Electronics Controller,1.0,0000000080,0000000078,2024-07-10,769.11,588.79,298.44,1827.75,00683581,9999999999,2024-05-12
0000000047,000047,PAPEC007BYD001,Power Electronics Controller,1.0,0000000087,0000000089,2024-07-16,477.12,340.77,246.48,741.06,00771310,9999999999,2024-06-13
0000000048,000048,PACP0004BYD001,Charging Port,1.0,0000000073,0000000061,2024-08-08,730.97,293.72,192.98,3976.19,00393407,9999999999,2024-07-06
0000000049,000049,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000086,0000000070,2024-06-25,827.1,665.09,177.94,3739.69,00383990,9999999999,2024-05-03
0000000050,000050,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000073,0000000082,2024-02-17,106.61,129.72,287.82,4497.48,00699312,9999999999,2024-02-16
0000000051,000051,PAPEC007BYD001,Power Electronics Controller,1.0,0000000078,0000000096,2024-07-11,412.19,151.71,538.21,710.33,00032442,9999999999,2024-06-12
0000000052,000052,PACP0004BYD001,Charging Port,1.0,0000000056,0000000087,2024-07-02,277.14,720.1,878.64,506.41,00216511,9999999999,2024-04-07
0000000053,000053,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000095,0000000085,2024-08-05,862.72,156.12,984.35,3071.14,00440377,9999999999,2024-05-13
0000000054,000054,PABP0001BYD002,Battery Pack,1.0,0000000066,0000000057,2024-04-09,471.27,576.24,361.08,3455.74,00944514,9999999999,2024-02-28
0000000055,000055,PAHVC011BYD001,High Voltage Cables,1.0,0000000052,0000000090,2024-06-05,465.83,651.48,895.6,4576.99,00074483,9999999999,2024-01-04
0000000056,000056,PACP0004BYD001,Charging Port,1.0,0000000096,0000000085,2024-06-20,239.59,401.93,479.61,4248.91,00735902,9999999999,2024-05-30
0000000057,000057,PAPEC007BYD001,Power Electronics Controller,1.0,0000000080,0000000076,2024-05-02,641.4,829.96,651.12,1112.41,00142110,9999999999,2024-01-11
0000000058,000058,PACL0310BYD001,Coolant (for thermal management),1.0,0000000070,0000000090,2024-07-05,184.03,704.06,660.12,4248.85,00802175,9999999999,2024-05-10
0000000059,000059,PACP0004BYD001,Charging Port,1.0,0000000084,0000000059,2024-07-03,316.71,241.93,716.74,4763.42,00810823,9999999999,2024-06-03
0000000060,000060,PACP0004BYD001,Charging Port,1.0,0000000086,0000000080,2024-02-17,174.34,348.45,944.9,162.03,00090403,9999999999,2024-02-13
0000000061,000061,PATMS008BYD003,Thermal Management System,1.0,0000000089,0000000094,2024-08-07,153.44,597.7,705.5,277.65,00568883,9999999999,2024-08-03
0000000062,000062,PACP0004BYD003,Charging Port,1.0,0000000068,0000000090,2024-03-29,439.8,548.03,590.26,2326.38,00776510,9999999999,2024-03-23
0000000063,000063,PAWS0210BYD005,Windshield,1.0,0000000083,0000000067,2024-08-08,808.26,900.55,488.88,1964.36,00885658,9999999999,2024-08-03
0000000064,000064,PABP0001BYD001,Battery Pack,1.0,0000000077,0000000058,2024-07-16,634.46,217.14,527.32,324.38,00245693,9999999999,2024-02-26
0000000065,000065,PAPEC007BYD005,Power Electronics Controller,1.0,0000000060,0000000079,2024-06-26,188.01,575.77,441.49,762.22,00759507,9999999999,2024-02-02
0000000066,000066,PABMS006BYD004,Battery Management System (BMS),1.0,0000000078,0000000097,2024-01-22,877.25,229.97,968.26,463.85,00105030,9999999999,2024-01-13
0000000067,000067,PABP0001BYD003,Battery Pack,1.0,0000000072,0000000081,2024-07-10,249.17,747.29,588.72,2046.36,00478010,9999999999,2024-03-21
0000000068,000068,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000069,0000000058,2024-08-13,273.36,308.45,760.83,2507.71,00592240,9999999999,2024-08-09
0000000069,000069,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000093,0000000093,2024-06-14,421.36,356.52,237.09,937.07,00936595,9999999999,2024-02-14
0000000070,000070,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,0000000099,0000000094,2024-07-05,716.59,756.66,864.21,1935.52,00359068,9999999999,2024-03-21
0000000071,000071,PAIN0003BYD001,Inverter,1.0,0000000070,0000000075,2024-07-07,339.2,239.53,338.05,410.36,00550826,9999999999,2024-02-05
0000000072,000072,PACP0004BYD001,Charging Port,1.0,0000000050,0000000073,2024-02-27,647.18,900.46,225.27,2916.88,00642758,9999999999,2024-02-23
0000000073,000073,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000061,0000000075,2024-04-10,111.84,764.92,164.14,945.12,00396661,9999999999,2024-04-01
0000000074,000074,PABP0001BYD004,Battery Pack,1.0,0000000068,0000000078,2024-03-17,913.99,116.99,842.96,1639.8,00007773,9999999999,2024-03-07
0000000075,000075,PAPEC007BYD002,Power Electronics Controller,1.0,0000000086,0000000082,2024-07-07,921.94,601.34,123.88,4358.77,00938925,9999999999,2024-05-29
0000000076,000076,PAPEC007BYD003,Power Electronics Controller,1.0,0000000051,0000000100,2024-07-17,835.53,787.99,756.72,4009.68,00094332,9999999999,2024-03-18
0000000077,000077,PABP0001BYD003,Battery Pack,1.0,0000000089,0000000081,2024-04-30,170.07,766.98,949.44,738.09,00998907,9999999999,2024-01-05
0000000078,000078,PACP0004BYD001,Charging Port,1.0,0000000054,0000000061,2024-07-14,740.61,478.95,746.02,4583.7,00388376,9999999999,2024-04-18
0000000079,000079,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,0000000060,0000000061,2024-05-27,309.22,342.1,684.64,874.43,00985316,9999999999,2024-03-24
0000000080,000080,PACP0004BYD001,Charging Port,1.0,0000000088,0000000085,2024-06-13,568.13,429.46,558.69,3092.7,00667001,9999999999,2024-02-09
0000000081,000081,PABMS006BYD003,Battery Management System (BMS),1.0,0000000081,0000000078,2024-05-22,705.96,255.19,231.79,4289.88,00288131,9999999999,2024-05-20
0000000082,000082,PABP0001BYD003,Battery Pack,1.0,0000000083,0000000065,2024-08-04,363.56,292.04,728.86,1141.17,00725504,9999999999,2024-05-09
0000000083,000083,PATMS008BYD003,Thermal Management System,1.0,0000000085,0000000096,2024-07-23,899.8,921.3,850.1,1491.46,00745635,9999999999,2024-04-07
0000000084,000084,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,0000000061,0000000060,2024-06-13,889.33,421.9,756.31,1661.18,00170122,9999999999,2024-03-31
0000000085,000085,PACP0004BYD001,Charging Port,1.0,0000000089,0000000076,2024-08-12,953.25,554.47,705.58,3344.33,00030235,9999999999,2024-08-12
0000000086,000086,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,0000000076,0000000069,2024-08-12,195.87,868.79,660.39,3306.31,00699865,9999999999,2024-08-07
0000000087,000087,PACP0004BYD001,Charging Port,1.0,0000000095,0000000086,2024-08-10,452.65,888.86,690.98,177.82,00601198,9999999999,2024-08-07
0000000088,000088,PAWS0210BYD001,Windshield,1.0,0000000098,0000000079,2024-04-21,812.59,664.63,797.58,1493.43,00288527,9999999999,2024-04-13
0000000089,000089,PABP0001BYD005,Battery Pack,1.0,0000000095,0000000051,2024-07-13,302.26,281.52,956.42,2641.47,00530944,9999999999,2024-02-09
0000000090,000090,PAHVC011BYD002,High Voltage Cables,4.0,0000000072,0000000100,2024-05-25,864.03,144.96,605.82,2967.13,00625540,9999999999,2024-01-15
0000000091,000091,PABP0001BYD001,Battery Pack,1.0,0000000090,0000000077,2024-05-15,289.3,243.28,777.94,3940.42,00865875,9999999999,2024-05-07
0000000092,000092,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000053,0000000100,2024-02-26,903.0,263.97,401.89,4053.93,00736771,9999999999,2024-02-14
0000000093,000093,PACP0004BYD001,Charging Port,1.0,0000000090,0000000095,2024-06-25,912.45,144.73,143.06,1175.57,00058936,9999999999,2024-04-19
0000000094,000094,PABP0001BYD004,Battery Pack,1.0,0000000069,0000000060,2024-08-07,261.14,887.0,881.46,4396.57,00153689,9999999999,2024-04-03
0000000095,000095,PAIN0003BYD003,Inverter,1.0,0000000055,0000000060,2024-08-13,836.84,876.53,173.07,2697.38,00911598,9999999999,2024-08-09
0000000096,000096,PASC0260BYD004,"Suspension Components (Shocks, Struts)",4.0,0000000072,0000000061,2024-06-16,923.28,761.8,843.47,316.38,00076682,9999999999,2024-02-07
0000000097,000097,PACL0310BYD001,Coolant (for thermal management),5.0,0000000084,0000000052,2024-08-11,305.56,405.82,829.64,4140.16,00499617,9999999999,2024-07-05
0000000098,000098,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,0000000056,0000000079,2024-05-29,343.87,243.73,563.52,2831.4,00760414,9999999999,2024-05-06
0000000099,000099,PACP0004BYD004,Charging Port,1.0,0000000057,0000000054,2024-06-19,303.44,989.86,757.91,678.54,00842558,9999999999,2024-02-20
0000000100,000100,PABP0001BYD003,Battery Pack,1.0,0000000061,0000000064,2024-07-05,590.65,269.54,661.19,1409.41,00289749,9999999999,2024-02-23
