DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,COST,RETAIL_PRICE,DISCOUNT_RATE,PAID_IN_AMOUNT,CREATE_BY,CREATE_DATE
000001,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,2744.56,1338.25,0.17,1155.33,9999999999,2024-01-12
000002,PABP0001BYD001,Battery Pack,1.0,140.73,315.95,0.55,2847.12,9999999999,2024-02-23
000003,PABP0170BYD003,Brake Pads,2.0,873.72,1546.03,0.22,2961.59,9999999999,2024-03-21
000004,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,865.83,1546.66,0.45,424.97,9999999999,2024-01-07
000005,PATMS008BYD002,Thermal Management System,1.0,2955.81,1370.98,0.44,4617.74,9999999999,2024-06-16
000006,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,1889.85,772.96,0.49,2191.13,9999999999,2024-01-03
000007,PACP0004BYD001,Charging Port,1.0,1857.88,2179.6,0.44,3124.19,9999999999,2024-05-30
000008,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,2520.01,303.01,0.18,4044.46,9999999999,2024-04-08
000009,PATI0190BYD001,Tires,2.0,2951.74,471.81,0.27,4991.43,9999999999,2024-08-12
000010,PACP0004BYD001,Charging Port,1.0,834.43,2501.99,0.54,494.88,9999999999,2024-03-18
000011,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,2665.68,2060.81,0.39,2853.52,9999999999,2024-05-31
000012,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,2702.12,608.96,0.19,1744.04,9999999999,2024-07-05
000013,PABP0170BYD001,Brake Pads,4.0,2032.47,2905.86,0.53,3598.21,9999999999,2024-07-01
000014,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,462.08,2351.26,0.22,889.19,9999999999,2024-02-22
000015,PABP0170BYD004,Brake Pads,3.0,880.59,1059.27,0.37,1907.69,9999999999,2024-06-02
000016,PAHVC011BYD003,High Voltage Cables,3.0,2868.33,2597.72,0.52,2806.95,9999999999,2024-06-13
000017,PASC0260BYD001,"Suspension Components (Shocks, Struts)",2.0,1866.12,1446.44,0.26,2017.06,9999999999,2024-04-30
000018,PABMS006BYD001,Battery Management System (BMS),1.0,1875.86,2458.5,0.58,2972.72,9999999999,2024-04-22
000019,PABP0001BYD004,Battery Pack,1.0,1810.13,1079.0,0.43,3607.52,9999999999,2024-04-11
000020,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,1602.86,2276.58,0.15,3849.94,9999999999,2024-04-03
000021,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,1871.05,333.4,0.41,626.6,9999999999,2024-03-19
000022,PABP0001BYD005,Battery Pack,1.0,2495.85,2622.79,0.31,2477.29,9999999999,2024-03-11
000023,PASC0260BYD001,"Suspension Components (Shocks, Struts)",1.0,640.43,1835.61,0.48,1797.41,9999999999,2024-06-26
000024,PABMS006BYD004,Battery Management System (BMS),1.0,2383.76,2415.06,0.26,941.88,9999999999,2024-06-08
000025,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,2783.25,2956.69,0.19,2556.87,9999999999,2024-07-23
000026,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,887.55,1003.21,0.16,1469.78,9999999999,2024-06-14
000027,PABMS006BYD001,Battery Management System (BMS),1.0,1293.02,1495.95,0.41,1931.78,9999999999,2024-04-30
000028,PASC0260BYD003,"Suspension Components (Shocks, Struts)",4.0,884.69,2248.44,0.26,1022.64,9999999999,2024-03-04
000029,PACP0004BYD001,Charging Port,1.0,2913.82,784.05,0.14,4650.3,9999999999,2024-03-22
000030,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,1337.18,2055.86,0.3,141.51,9999999999,2024-02-20
000031,PATMS008BYD005,Thermal Management System,1.0,187.28,2327.4,0.48,2298.83,9999999999,2024-05-14
000032,PAHVC011BYD005,High Voltage Cables,4.0,2011.14,2487.91,0.46,4158.44,9999999999,2024-08-12
000033,PACP0004BYD003,Charging Port,1.0,337.61,800.68,0.51,2861.42,9999999999,2024-03-02
000034,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,851.49,1274.31,0.21,717.41,9999999999,2024-02-10
000035,PASC0260BYD001,"Suspension Components (Shocks, Struts)",3.0,1593.68,710.78,0.48,2355.09,9999999999,2024-04-08
000036,PABP0001BYD004,Battery Pack,1.0,537.25,1854.16,0.32,3825.06,9999999999,2024-04-21
000037,PAPEC007BYD005,Power Electronics Controller,1.0,2314.54,1991.62,0.12,4375.66,9999999999,2024-03-13
000038,PASC0260BYD001,"Suspension Components (Shocks, Struts)",4.0,1987.03,1041.84,0.49,3181.52,9999999999,2024-04-18
000039,PACL0310BYD002,Coolant (for thermal management),3.0,1177.37,2316.06,0.12,4682.65,9999999999,2024-05-24
000040,PACAF034BYD003,Cabin Air Filter,1.0,1190.74,2578.89,0.49,1538.3,9999999999,2024-06-09
000041,PATMS008BYD003,Thermal Management System,1.0,1151.18,2623.06,0.33,4498.57,9999999999,2024-05-09
000042,PACAF034BYD003,Cabin Air Filter,1.0,2195.85,1298.29,0.48,1465.2,9999999999,2024-08-05
