VEHICLE_CODE,VEHICLE_NAME,LABOUR_CODE,LABOUR_NAME,MAIN_CATEGORY,SECOND_CATEGORY,BATTERY_REPAIR
 52970,Shark,LR008,Thermal Management Service,Electrical,Thermal Management,N
 43956,Han,LR016,Brake System Service,Mechanical,Brakes,N
 33056,Tang,LR004,Charging Port Repair,Electrical,Charging Port,N
 88856,Seal,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 31386,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 47768,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
  9475,Han,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 68860,Shark,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 79305,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 98408,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 88291,Song,LR011,Drive Unit Maintenance,Electrical,Drive Unit,N
 46906,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
  3197,Dolphin,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 72679,Song,LR002,Motor Repair,Electrical,Motor,N
 41540,Dolphin,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 86625,Qin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 58673,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 65674,Han,LR020,Fuse Replacement,Safety,Fuse,N
 87194,Song,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  6311,Yuan,LR020,Fuse Replacement,Safety,Fuse,N
 83063,Tang,LR016,Brake System Service,Mechanical,Brakes,N
 10322,Dolphin Mini,LR019,Windshield Replacement,Safety,Windshield,N
 18678,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 25602,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 50160,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 41589,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 42517,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 70728,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 66179,Song,LR017,Suspension Repair,Mechanical,Suspension,N
  9062,Seal,LR016,Brake System Service,Mechanical,Brakes,N
 79736,Qin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 48572,Han,LR016,Brake System Service,Mechanical,Brakes,N
 84314,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 44583,Han,LR017,Suspension Repair,Mechanical,Suspension,N
 63511,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 38558,Dolphin,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 28974,Han,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 87181,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 37502,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 67848,Yuan,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 80666,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 93936,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 71914,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 73035,Qin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 56118,Han,LR017,Suspension Repair,Mechanical,Suspension,N
 53682,Tang,LR016,Brake System Service,Mechanical,Brakes,N
 84441,Song,LR016,Brake System Service,Mechanical,Brakes,N
 62380,Dolphin,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 25833,Han,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 30287,Song,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 27865,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 34309,Seal,LR017,Suspension Repair,Mechanical,Suspension,N
 32804,Seal,LR016,Brake System Service,Mechanical,Brakes,N
 99221,Qin,LR003,Inverter Replacement,Electrical,Inverter,N
 65516,King,LR008,Thermal Management Service,Electrical,Thermal Management,N
 53941,Tang,LR008,Thermal Management Service,Electrical,Thermal Management,N
 46643,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 53579,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 29197,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 50928,Song,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 66755,King,LR016,Brake System Service,Mechanical,Brakes,N
 77678,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 58323,Qin,LR016,Brake System Service,Mechanical,Brakes,N
 93913,Han,LR019,Windshield Replacement,Safety,Windshield,N
 13960,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 53929,Shark,LR016,Brake System Service,Mechanical,Brakes,N
 75809,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 38507,Song,LR017,Suspension Repair,Mechanical,Suspension,N
 36246,Song,LR016,Brake System Service,Mechanical,Brakes,N
 55469,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 51581,Dolphin,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 93098,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 11458,Qin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 93788,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 43387,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 14844,Song,LR016,Brake System Service,Mechanical,Brakes,N
 44021,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 38307,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 79521,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 60716,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 37298,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 48393,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 30307,Song,LR016,Brake System Service,Mechanical,Brakes,N
 48179,Dolphin,LR003,Inverter Replacement,Electrical,Inverter,N
 86492,Yuan,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  1165,King,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 65608,Seal,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 44820,Song,LR016,Brake System Service,Mechanical,Brakes,N
 26273,Dolphin,LR001,Battery Replacement,Electrical,Battery,Y
 89764,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  9102,Han,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 26120,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
  8526,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 30210,Seal,LR016,Brake System Service,Mechanical,Brakes,N
 61403,Yuan,LR012,Gearbox Service,Mechanical,Gearbox,N
 86361,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
   203,Song,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 84153,Tang,LR016,Brake System Service,Mechanical,Brakes,N
 97656,Song,LR017,Suspension Repair,Mechanical,Suspension,N
 89047,King,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 46295,Han,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 37992,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 90899,Dolphin Mini,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 78702,Song,LR019,Windshield Replacement,Safety,Windshield,N
 54228,Dolphin,LR011,Drive Unit Maintenance,Electrical,Drive Unit,N
 15220,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 18566,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
  9737,Shark,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 63178,Song,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 24795,Han,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 65704,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 80999,Seal,LR017,Suspension Repair,Mechanical,Suspension,N
 32740,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
 11544,Qin,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 47209,Song,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 79788,Dolphin,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 51224,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
 17658,Song,LR016,Brake System Service,Mechanical,Brakes,N
 11766,Han,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 94224,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
  5715,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 99302,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 67109,Qin,LR020,Fuse Replacement,Safety,Fuse,N
 96223,Yuan,LR008,Thermal Management Service,Electrical,Thermal Management,N
 37224,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 90532,Song,LR004,Charging Port Repair,Electrical,Charging Port,N
 51327,Yuan,LR004,Charging Port Repair,Electrical,Charging Port,N
 88874,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 19777,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 79201,Qin,LR020,Fuse Replacement,Safety,Fuse,N
 58522,Dolphin,LR020,Fuse Replacement,Safety,Fuse,N
 66683,Yuan,LR004,Charging Port Repair,Electrical,Charging Port,N
 64437,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 17066,Han,LR017,Suspension Repair,Mechanical,Suspension,N
 60506,Qin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 30303,Song,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 62163,Qin,LR012,Gearbox Service,Mechanical,Gearbox,N
 94635,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 47775,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 12576,Seal,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 24255,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 22453,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 65269,Han,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 99722,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 85442,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
 86111,Yuan,LR008,Thermal Management Service,Electrical,Thermal Management,N
 15981,Qin,LR004,Charging Port Repair,Electrical,Charging Port,N
 51519,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 91256,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
 60237,Qin,LR006,BMS Calibration,Electrical,BMS,Y
 49413,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 19110,Tang,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 55462,Qin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 78200,Song,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 70376,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 39533,Shark,LR017,Suspension Repair,Mechanical,Suspension,N
 97719,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 64991,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 73863,Dolphin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 67187,Seal,LR019,Windshield Replacement,Safety,Windshield,N
 37672,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 89713,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 16684,Dolphin Mini,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 39852,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 34390,Seal,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 89104,Tang,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 92934,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 11861,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 18949,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
  5364,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 67397,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
 47021,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
  5032,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 20445,Dolphin,LR003,Inverter Replacement,Electrical,Inverter,N
 36577,Dolphin Mini,LR019,Windshield Replacement,Safety,Windshield,N
  9911,Tang,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 17472,Tang,LR004,Charging Port Repair,Electrical,Charging Port,N
 32604,King,LR003,Inverter Replacement,Electrical,Inverter,N
 23363,Han,LR016,Brake System Service,Mechanical,Brakes,N
 55115,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 33348,Tang,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 52271,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 62633,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 10928,Song,LR006,BMS Calibration,Electrical,BMS,Y
 17865,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 65782,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 49049,Dolphin Mini,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 36259,Qin,LR016,Brake System Service,Mechanical,Brakes,N
 90254,Qin,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 63050,Qin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 67197,Han,LR016,Brake System Service,Mechanical,Brakes,N
 40014,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 62899,Dolphin Mini,LR019,Windshield Replacement,Safety,Windshield,N
 32483,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 64141,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
 73961,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 36806,King,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 96431,Tang,LR006,BMS Calibration,Electrical,BMS,Y
 51558,Qin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 50561,Dolphin,LR020,Fuse Replacement,Safety,Fuse,N
 25027,Song,LR020,Fuse Replacement,Safety,Fuse,N
 58156,Yuan,LR019,Windshield Replacement,Safety,Windshield,N
 83136,Dolphin Mini,LR019,Windshield Replacement,Safety,Windshield,N
 11896,Dolphin,LR002,Motor Repair,Electrical,Motor,N
 66271,Dolphin Mini,LR003,Inverter Replacement,Electrical,Inverter,N
  1870,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 82205,Yuan,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 25125,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 14823,Tang,LR016,Brake System Service,Mechanical,Brakes,N
 32477,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
  5331,Shark,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 71395,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 21057,Shark,LR004,Charging Port Repair,Electrical,Charging Port,N
 52592,Song,LR002,Motor Repair,Electrical,Motor,N
 47614,Song,LR017,Suspension Repair,Mechanical,Suspension,N
 55847,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 92198,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 47750,King,LR008,Thermal Management Service,Electrical,Thermal Management,N
 33701,Shark,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 75199,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 39773,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 49007,Dolphin,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 33624,King,LR016,Brake System Service,Mechanical,Brakes,N
 97072,Song,LR016,Brake System Service,Mechanical,Brakes,N
 16420,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 37333,Yuan,LR014,AC Compressor Service,Mechanical,AC Compressor,N
    86,Tang,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 47986,Yuan,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 66560,Dolphin,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 70157,Yuan,LR008,Thermal Management Service,Electrical,Thermal Management,N
 79602,Yuan,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 74147,Tang,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 73538,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 23094,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 91895,Dolphin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 79008,Song,LR016,Brake System Service,Mechanical,Brakes,N
 51225,Shark,LR003,Inverter Replacement,Electrical,Inverter,N
 76548,Dolphin,LR004,Charging Port Repair,Electrical,Charging Port,N
 81559,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
   736,Dolphin,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 22842,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 85933,Yuan,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 51190,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 20833,Yuan,LR020,Fuse Replacement,Safety,Fuse,N
 89441,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 22729,King,LR006,BMS Calibration,Electrical,BMS,Y
 86962,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 89826,Dolphin Mini,LR004,Charging Port Repair,Electrical,Charging Port,N
  5579,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 90129,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 44762,Song,LR016,Brake System Service,Mechanical,Brakes,N
 52961,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
  8535,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 39419,Song,LR017,Suspension Repair,Mechanical,Suspension,N
   504,Han,LR006,BMS Calibration,Electrical,BMS,Y
 91150,Han,LR019,Windshield Replacement,Safety,Windshield,N
 34533,Song,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 21518,King,LR017,Suspension Repair,Mechanical,Suspension,N
 87550,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 19580,Qin,LR016,Brake System Service,Mechanical,Brakes,N
 48488,Han,LR012,Gearbox Service,Mechanical,Gearbox,N
 95089,Yuan,LR017,Suspension Repair,Mechanical,Suspension,N
 99476,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 17943,Song,LR016,Brake System Service,Mechanical,Brakes,N
 58674,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 12224,Shark,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 49692,Han,LR016,Brake System Service,Mechanical,Brakes,N
 86754,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 91266,Yuan,LR006,BMS Calibration,Electrical,BMS,Y
  3795,Han,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
  9542,Tang,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 69176,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 97401,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 99714,Han,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 50394,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 86976,Song,LR019,Windshield Replacement,Safety,Windshield,N
 24228,Qin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 89325,Tang,LR002,Motor Repair,Electrical,Motor,N
 11906,Tang,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 34936,Han,LR003,Inverter Replacement,Electrical,Inverter,N
 74599,Song,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 45962,Dolphin Mini,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 50140,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 44260,Dolphin Mini,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 40119,Song,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 47359,Han,LR017,Suspension Repair,Mechanical,Suspension,N
 14650,Dolphin,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 60761,Tang,LR016,Brake System Service,Mechanical,Brakes,N
 27154,Yuan,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 63006,Yuan,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 33645,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 51288,Yuan,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 85982,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 15747,Han,LR016,Brake System Service,Mechanical,Brakes,N
 87748,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 84618,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 12702,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 40676,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 43871,King,LR016,Brake System Service,Mechanical,Brakes,N
 73081,Yuan,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 26670,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 53604,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 91884,Seal,LR017,Suspension Repair,Mechanical,Suspension,N
 38899,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 92694,Dolphin Mini,LR002,Motor Repair,Electrical,Motor,N
 33562,Song,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 30612,Dolphin Mini,LR017,Suspension Repair,Mechanical,Suspension,N
 48636,Song,LR017,Suspension Repair,Mechanical,Suspension,N
 92214,Dolphin,LR020,Fuse Replacement,Safety,Fuse,N
 51200,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
 63590,Song,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
  1213,King,LR017,Suspension Repair,Mechanical,Suspension,N
  4773,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 66897,Dolphin,LR020,Fuse Replacement,Safety,Fuse,N
 35005,Yuan,LR005,DC-DC Converter Replacement,Electrical,DC-DC Converter,N
 12211,Qin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 80227,Shark,LR016,Brake System Service,Mechanical,Brakes,N
 53033,Dolphin Mini,LR008,Thermal Management Service,Electrical,Thermal Management,N
 26577,Song,LR016,Brake System Service,Mechanical,Brakes,N
  5445,Seal,LR016,Brake System Service,Mechanical,Brakes,N
 41341,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 15026,Dolphin Mini,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  8796,Qin,LR019,Windshield Replacement,Safety,Windshield,N
 42000,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 89137,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 48901,Yuan,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 36641,Dolphin Mini,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 75712,Dolphin,LR010,Onboard Charger Repair,Electrical,Onboard Charger,N
 89994,Qin,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 56265,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 97299,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 74355,Song,LR016,Brake System Service,Mechanical,Brakes,N
 91002,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
 96102,Qin,LR017,Suspension Repair,Mechanical,Suspension,N
 50679,Dolphin,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 86974,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
 88093,Dolphin,LR017,Suspension Repair,Mechanical,Suspension,N
 27459,Song,LR016,Brake System Service,Mechanical,Brakes,N
 31767,Tang,LR017,Suspension Repair,Mechanical,Suspension,N
 35968,Qin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 64599,Han,LR016,Brake System Service,Mechanical,Brakes,N
 31909,Yuan,LR009,Regenerative Braking Adjustment,Electrical,Regenerative Braking,N
 89970,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
 33061,Han,LR013,Heat Pump Repair,Mechanical,Heat Pump,N
 48665,Dolphin,LR019,Windshield Replacement,Safety,Windshield,N
 73398,Dolphin,LR008,Thermal Management Service,Electrical,Thermal Management,N
 87439,Yuan,LR016,Brake System Service,Mechanical,Brakes,N
  9701,Song,LR019,Windshield Replacement,Safety,Windshield,N
 40742,Dolphin,LR016,Brake System Service,Mechanical,Brakes,N
 18011,Yuan,LR007,Power Electronics Repair,Electrical,Power Electronics,N
 46796,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 54290,Han,LR016,Brake System Service,Mechanical,Brakes,N
 20268,Han,LR019,Windshield Replacement,Safety,Windshield,N
  1466,Song,LR016,Brake System Service,Mechanical,Brakes,N
 63765,Shark,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
 11543,Tang,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 19407,Dolphin Mini,LR016,Brake System Service,Mechanical,Brakes,N
 31537,Seal,LR018,Headlight Alignment,Mechanical,Headlight Alignment,N
  4892,Song,LR014,AC Compressor Service,Mechanical,AC Compressor,N
 79118,Dolphin,LR015,Water Pump Replacement,Mechanical,Water Pump,N
  2212,King,LR016,Brake System Service,Mechanical,Brakes,N
