PART_CODE,SAP Material name,Local Material Code,Unit,Discount Category,Dangerous goods,Order permission,Order type,Selling price,Suggested retail price,Warranty Parts Price,Single vehicle consumption,SAP Material No.,SAP Material Name,Manual code,Customs code,Vehicle series,Scope of services,Minimum packing quantity,Volume,Region,Whether it is Auxiliary material,Whether it is Included in the ordering target of spare parts and supplies,Whether the allowance for spare parts is included,Whether it is Maintenance part,Whether there is a commission,Model description,Whether there is allowance for sheet metal spraying,Covering parts for sheet metal spraying or not,Spare parts category,Spare parts type,Code of replace,Post-Package weight,Packaging specifications,Whether to trace,Whether it is In short supply,Whether retail,Expediting coefficient,Whether it is A Self-made part,Whether it is Included in turnover assessment,Remarks,Planner,Whether it is The first maintenance,Pre-approval or not,Maximum number of orders,Classification of accessories,Accessories type,Minimum number of applications,Scheduled days,Department,Production cycle,Highest inventory,Arrival warning,Minimum purchase quantity,Special for after-sales,The sales store cannot order,Whether the repair paint is certified by the original manufacturer,Special for new energy,Online sales price,Employee price,Department price,Marketing script,Product description,Warehouse area,Pictures,Type of claim,length width height,Warranty period,Coefficient of sheet metal and spray parts,Whether it is Publicized,Material abbreviation,Whether the motor number is filled in,Is it oil,Oil type,Capacity (l),Planner Email,Small Amount Order Pricing Ratio,Whether the material is authorised,Country of origin,NOM Certification,Creation date
BP001,Battery Pack,LOC-1703,PCS,B,N,Allowed,Urgent,437.83,481.61,394.05,5.0,MAT-761094,Battery Pack,MAN-2542,CUS-683707,SUV,Partial,2.0,8.76,Europe,N,Y,N,N,Y,Model-7805,N,N,Category C,Type 2,REP-6821,17.74,93x71x76,N,Y,Y,0.77,N,N,Exercitationem voluptas hic nam porro fuga corporis.,Stella Pimenta,N,N,83.0,Class B,Type A,6.0,12.0,Dept B,68.0,155.0,N,10.0,Y,Y,Y,N,396.73,439.66,367.39,At eum asperiores laborum sint temporibus eos. Qui animi provident voluptatem nesciunt explicabo adipisci. Quis cupiditate architecto quia.,Dolore distinctio rem iusto animi vitae quibusdam. Inventore soluta facere unde inventore in cum. Quam magni optio pariatur deleniti.,Area 2,https://placekitten.com/893/55,Type C,13x44x20,21.0,1.4,N,MAT-3995,Y,Y,Type 1,8.33,leaojoao-gabriel@example.com,1.98,Y,Sweden,N,2024-01-06
EM002,Electric Motor,LOC-1348,SET,C,Y,Restricted,Standard,357.13,392.84,321.42,5.0,MAT-392945,Electric Motor,MAN-3928,CUS-141487,Sedan,Partial,10.0,2.11,North America,N,N,Y,N,N,Model-9212,Y,Y,Category A,Type 2,REP-8427,1.67,80x47x60,Y,N,Y,0.55,Y,Y,Facere a debitis non recusandae in. Provident nesciunt neque. Quisquam repellat illum modi libero.,Milena Rios,N,Y,18.0,Class C,Type B,10.0,4.0,Dept C,34.0,237.0,Y,6.0,N,Y,Y,N,272.64,389.51,249.62,Voluptas vero quo minus nobis beatae cumque. Quod atque dolorem quam expedita molestiae veniam commodi. Facilis placeat atque unde.,"Error vitae praesentium inventore unde. Explicabo reprehenderit aperiam rerum reprehenderit unde asperiores.
Tempore iusto est aperiam eveniet.",Area 3,https://placekitten.com/847/991,Type B,97x43x34,37.0,0.29,Y,MAT-1706,N,N,Type 2,14.81,camargoarthur-gabriel@example.org,0.65,Y,Sweden,N,2024-04-04
IN003,Inverter,LOC-7361,SET,C,N,Restricted,Standard,266.19,292.81,239.57,4.0,MAT-995388,Inverter,MAN-7673,CUS-630385,Sedan,Full,1.0,2.68,Asia,N,N,Y,N,Y,Model-3343,N,Y,Category C,Type 2,REP-8941,6.28,32x70x18,N,N,Y,0.97,N,N,"Ipsum deserunt sint deleniti.
Asperiores recusandae laudantium. Amet dolores perspiciatis.",Pietra Peixoto,N,N,94.0,Class B,Type C,1.0,1.0,Dept A,83.0,202.0,N,5.0,Y,N,Y,Y,357.4,409.68,483.61,"Necessitatibus fugit ullam molestias tempora laboriosam quo. Rem quam quibusdam qui beatae vel facere.
Culpa culpa labore quisquam. Nulla nobis minima natus occaecati odio.",Illum numquam ut cumque asperiores. Sunt vel quibusdam quibusdam at amet voluptatum enim. Minima sit perferendis occaecati vero consequuntur.,Area 1,https://placekitten.com/611/360,Type A,75x92x10,45.0,1.32,Y,MAT-3791,N,N,Type 1,19.18,otavio47@example.net,1.19,Y,China,Y,2024-02-25
CP004,Charging Port,LOC-8223,EA,C,N,Allowed,Urgent,131.81,144.99,118.63,1.0,MAT-669418,Charging Port,MAN-9461,CUS-900268,SUV,Full,1.0,8.98,Asia,N,Y,N,Y,Y,Model-7149,N,N,Category C,Type 2,REP-8564,7.19,69x32x99,Y,N,Y,1.64,Y,N,Omnis ea ex praesentium mollitia accusamus.,Arthur Miguel Santos,N,Y,38.0,Class B,Type B,10.0,4.0,Dept B,66.0,91.0,N,1.0,N,Y,Y,N,251.88,396.16,307.73,Quod laudantium dolorum dolor maiores molestias. Illum ex suscipit et. Ad error excepturi. Debitis ipsa quaerat nihil maiores perferendis vel.,"Neque vel molestiae dolorum. Asperiores dolores consequuntur dolorum ex harum ex exercitationem. Minima enim beatae reprehenderit aperiam impedit vero.
At ex repellat placeat mollitia possimus ad.",Area 1,https://placekitten.com/1022/888,Type A,83x56x95,30.0,1.47,Y,MAT-5866,N,N,Type 3,13.03,wcavalcanti@example.com,1.86,Y,China,N,2024-05-28
DC005,DC-DC Converter,LOC-7733,PCS,A,Y,Restricted,Standard,395.62,435.18,356.06,2.0,MAT-457851,DC-DC Converter,MAN-3585,CUS-825881,SUV,Partial,10.0,5.22,North America,N,N,Y,N,N,Model-6780,N,Y,Category A,Type 1,REP-4103,13.01,14x97x98,Y,N,Y,0.25,N,N,Accusantium sequi architecto at in. Rem vitae earum quae nisi qui.,Augusto Costela,N,N,72.0,Class C,Type B,6.0,9.0,Dept B,2.0,294.0,Y,3.0,N,Y,Y,Y,388.25,158.99,463.27,Nostrum omnis pariatur quam illo eaque quasi. Assumenda natus dolore eligendi iure. Laudantium sunt nesciunt atque saepe quos pariatur.,"Inventore necessitatibus temporibus tempora officiis. Nobis sequi voluptatibus neque.
Maiores nisi nostrum ducimus architecto nihil illo. Praesentium minima dolores eum magnam.",Area 3,https://placekitten.com/3/63,Type C,63x54x67,26.0,0.39,Y,MAT-2778,Y,Y,Type 3,7.38,abreubento@example.net,0.23,N,China,Y,2024-05-17
BMS006,Battery Management System (BMS),LOC-1328,EA,B,N,Restricted,Urgent,452.89,498.18,407.6,2.0,MAT-506192,Battery Management System (BMS),MAN-2681,CUS-571487,Sedan,Full,2.0,1.04,Asia,Y,Y,Y,N,Y,Model-6665,Y,Y,Category A,Type 2,REP-2219,10.08,40x93x61,Y,N,N,1.5,N,Y,Est corrupti aspernatur culpa. Adipisci quod veritatis unde quas. Distinctio accusamus quod.,Larissa Lima,Y,Y,79.0,Class A,Type B,6.0,28.0,Dept C,45.0,485.0,N,3.0,Y,N,N,Y,59.52,60.72,402.79,Nesciunt vitae at quasi voluptatum hic sequi accusamus. Iusto quam error maiores libero. Vel est suscipit autem corrupti consequuntur architecto facilis.,Libero ipsam repellat quis explicabo dolorem ducimus. Aliquid ducimus fugit enim. Pariatur sapiente veritatis quia eum minima.,Area 3,https://placekitten.com/367/189,Type B,43x90x85,21.0,1.85,N,MAT-6823,Y,Y,Type 1,12.5,ydas-neves@example.com,1.59,Y,Sweden,Y,2024-01-28
PEC007,Power Electronics Controller,LOC-5050,EA,C,N,Allowed,Standard,267.51,294.26,240.76,1.0,MAT-453362,Power Electronics Controller,MAN-1930,CUS-393317,SUV,Partial,5.0,5.83,North America,N,Y,N,N,Y,Model-8094,Y,Y,Category B,Type 1,REP-5627,2.36,25x38x41,N,N,Y,0.36,Y,Y,Blanditiis eius beatae.,Enzo Gabriel Guerra,Y,Y,92.0,Class A,Type A,2.0,13.0,Dept B,36.0,258.0,Y,2.0,N,Y,Y,Y,188.42,339.83,359.27,Similique maxime ipsam rerum quibusdam id magni. Voluptatum quod id occaecati ipsum excepturi eos.,Quo dolore quibusdam facere aut corrupti dolor. Qui sit doloremque aliquam aliquid at labore rem.,Area 1,https://placekitten.com/425/14,Type B,58x37x30,45.0,0.29,N,MAT-8403,N,N,Type 3,5.29,sfogaca@example.org,1.11,Y,Sweden,N,2024-01-08
TMS008,Thermal Management System,LOC-3361,EA,B,N,Allowed,Urgent,428.87,471.76,385.98,1.0,MAT-607370,Thermal Management System,MAN-2039,CUS-557056,Sedan,Full,2.0,3.21,Asia,Y,Y,Y,N,N,Model-8050,N,Y,Category A,Type 2,REP-3647,9.91,23x51x44,N,Y,Y,0.5,N,Y,Id nihil sed cum ipsa molestias in quia.,Sr. Davi Lucca Machado,N,N,61.0,Class A,Type A,6.0,26.0,Dept B,66.0,364.0,Y,3.0,Y,N,N,Y,446.78,100.57,190.57,Qui eaque dolore. Quam quo ratione temporibus odit iusto. Officiis iure labore aliquam voluptates sequi quam.,Eligendi quidem laborum architecto consequatur aliquid inventore. Corporis quis quasi laudantium ex quasi.,Area 3,https://picsum.photos/947/808,Type A,96x67x79,24.0,1.99,N,MAT-2495,N,N,Type 1,7.81,gustavo-henriquemontenegro@example.com,1.2,N,Germany,N,2024-06-14
RBS009,Regenerative Braking System,LOC-9026,EA,B,N,Allowed,Standard,248.54,273.39,223.69,1.0,MAT-336667,Regenerative Braking System,MAN-9173,CUS-919915,SUV,Full,3.0,8.63,Europe,Y,N,N,Y,N,Model-1729,Y,Y,Category A,Type 2,REP-8247,4.75,73x16x46,Y,N,Y,0.29,Y,N,Tempora eligendi laboriosam. Deleniti cumque dolorum optio quisquam tenetur.,Sofia Aparecida,N,Y,29.0,Class B,Type B,4.0,8.0,Dept B,11.0,348.0,N,8.0,Y,Y,Y,Y,168.89,10.23,34.83,"Maxime quos voluptates molestias in enim. Aliquid nemo assumenda earum eaque maiores tempora.
Alias dolorem architecto provident dolore illum. Culpa est natus omnis fugiat facilis nulla.","Quaerat minus ducimus amet corporis quod ea. Laborum reiciendis sit ex nulla. Hic suscipit reprehenderit dolore iure iusto placeat.
Suscipit suscipit tenetur. Ut maiores dolorum aliquam ipsam.",Area 1,https://picsum.photos/837/58,Type C,84x51x64,47.0,1.24,Y,MAT-1992,Y,Y,Type 2,11.95,natalia40@example.org,0.15,N,China,Y,2024-04-07
OC010,Onboard Charger,LOC-1082,SET,B,Y,Allowed,Urgent,440.98,485.08,396.88,5.0,MAT-540944,Onboard Charger,MAN-4232,CUS-932015,Sedan,Partial,1.0,2.69,Europe,Y,N,Y,N,N,Model-8409,Y,N,Category B,Type 3,REP-4976,0.53,63x50x92,N,Y,Y,1.59,Y,Y,Ipsum ab quos. Incidunt doloribus iure aspernatur adipisci. Voluptatum alias veniam cumque.,Maria Fernanda Alves,N,N,90.0,Class C,Type B,1.0,11.0,Dept C,89.0,56.0,Y,7.0,N,Y,Y,Y,316.01,144.87,116.47,Asperiores labore unde eaque quis eaque. Sunt veritatis doloremque rerum facilis. Aspernatur blanditiis ea exercitationem sequi repellendus fugiat.,Incidunt aperiam eius laboriosam. Occaecati consequatur ex debitis nam nemo. Voluptatum nobis nobis eveniet.,Area 1,https://placekitten.com/141/133,Type A,92x38x80,10.0,1.78,Y,MAT-4389,N,N,Type 2,3.75,rocharyan@example.net,1.36,N,Germany,N,2024-01-20
