LABOUR_ID,DEALER_ORDER_ID,LABOUR_CODE,LABOUR_NAME,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
2.0,3485.0,LR008,Thermal Management Service,9999999999,2024-07-15,9999999988,2024-07-20
3.0,1390.0,LR016,Brake System Service,9999999999,2024-05-18,9999999988,2024-05-26
4.0,2542.0,LR004,Charging Port Repair,9999999999,2024-07-22,9999999988,2024-07-22
5.0,2846.0,LR015,Water Pump Replacement,9999999999,2024-07-12,9999999988,2024-07-14
6.0,1083.0,LR018,Headlight Alignment,9999999999,2024-05-14,9999999988,2024-06-08
7.0,3468.0,LR014,AC Compressor Service,9999999999,2024-07-18,9999999988,2024-07-20
8.0,2949.0,LR009,Regenerative Braking Adjustment,9999999999,2024-07-19,9999999988,2024-07-19
9.0,2877.0,LR018,Headlight Alignment,9999999999,2024-03-06,9999999988,2024-03-21
10.0,584.0,LR016,Brake System Service,9999999999,2024-04-18,9999999988,2024-06-22
11.0,4063.0,LR018,Headlight Alignment,9999999999,2024-05-14,9999999988,2024-06-05
12.0,1361.0,LR011,Drive Unit Maintenance,9999999999,2024-06-29,9999999988,2024-07-11
13.0,4429.0,LR016,Brake System Service,9999999999,2024-04-04,9999999988,2024-04-19
14.0,2289.0,LR009,Regenerative Braking Adjustment,9999999999,2024-02-10,9999999988,2024-06-14
15.0,2652.0,LR002,Motor Repair,9999999999,2024-04-13,9999999988,2024-06-15
16.0,2136.0,LR013,Heat Pump Repair,9999999999,2024-05-10,9999999988,2024-05-10
17.0,2045.0,LR014,AC Compressor Service,9999999999,2024-03-03,9999999988,2024-05-16
18.0,3487.0,LR017,Suspension Repair,9999999999,2024-07-17,9999999988,2024-07-21
19.0,142.0,LR020,Fuse Replacement,9999999999,2024-05-01,9999999988,2024-06-05
20.0,696.0,LR018,Headlight Alignment,9999999999,2024-07-07,9999999988,2024-07-07
21.0,917.0,LR020,Fuse Replacement,9999999999,2024-07-21,9999999988,2024-07-22
22.0,4033.0,LR016,Brake System Service,9999999999,2024-02-13,9999999988,2024-04-26
23.0,3525.0,LR019,Windshield Replacement,9999999999,2024-02-12,9999999988,2024-06-17
