SALE_PART_ID,DEALER_ORDER_ID,PART_CODE,PART_NAME,PART_QUANTITY,CREATE_BY,CREATE_DATE,UPDATE_BY,UPDATE_DATE
1.0,3562.0,PSF033,Power Steering Fluid (if applicable),4.0,9999999999,2024-05-29,9999999988,2024-07-08
2.0,695.0,HVC011,High Voltage Cables,1.0,9999999999,2024-01-16,9999999988,2024-03-06
3.0,4986.0,WB025,Wiper Blades,2.0,9999999999,2024-07-17,9999999988,2024-07-19
4.0,2191.0,CA027,Control Arms,3.0,9999999999,2024-06-06,9999999988,2024-07-20
5.0,4548.0,WB020,Wheel Bearings,2.0,9999999999,2024-04-27,9999999988,2024-06-12
6.0,489.0,BD018,Brake Discs,3.0,9999999999,2024-05-19,9999999988,2024-07-14
7.0,3510.0,BP017,Brake Pads,3.0,9999999999,2024-03-25,9999999988,2024-07-01
8.0,47.0,CAF034,Cabin Air Filter,4.0,9999999999,2024-02-24,9999999988,2024-04-18
9.0,1464.0,RG013,Reduction Gear,1.0,9999999999,2024-02-24,9999999988,2024-07-19
10.0,118.0,PSF033,Power Steering Fluid (if applicable),1.0,9999999999,2024-02-06,9999999988,2024-06-05
11.0,554.0,BP017,Brake Pads,3.0,9999999999,2024-04-07,9999999988,2024-07-19
12.0,3000.0,EAC015,Electric Air Conditioning Compressor,1.0,9999999999,2024-02-27,9999999988,2024-04-27
13.0,2636.0,HP014,Heat Pump,1.0,9999999999,2024-02-08,9999999988,2024-06-28
14.0,348.0,BP017,Brake Pads,2.0,9999999999,2024-01-29,9999999988,2024-07-21
15.0,128.0,CAF034,Cabin Air Filter,2.0,9999999999,2024-05-08,9999999988,2024-06-22
16.0,1162.0,RG013,Reduction Gear,1.0,9999999999,2024-02-09,9999999988,2024-04-17
17.0,4431.0,HL023,Headlights,4.0,9999999999,2024-06-17,9999999988,2024-07-02
18.0,1989.0,EWP016,Electric Water Pump,1.0,9999999999,2024-03-20,9999999988,2024-07-05
19.0,223.0,AB036,12V Auxiliary Battery,1.0,9999999999,2024-07-04,9999999988,2024-07-14
20.0,3671.0,SC026,"Suspension Components (Shocks, Struts)",3.0,9999999999,2024-07-21,9999999988,2024-07-21
21.0,3415.0,WB025,Wiper Blades,2.0,9999999999,2024-01-25,9999999988,2024-06-29
22.0,2015.0,EAC015,Electric Air Conditioning Compressor,1.0,9999999999,2024-01-06,9999999988,2024-02-11
23.0,397.0,EWP016,Electric Water Pump,1.0,9999999999,2024-06-03,9999999988,2024-06-03
24.0,690.0,OC010,Onboard Charger,1.0,9999999999,2024-07-10,9999999988,2024-07-20
25.0,3387.0,SC026,"Suspension Components (Shocks, Struts)",4.0,9999999999,2024-05-09,9999999988,2024-06-01
26.0,2875.0,OC010,Onboard Charger,1.0,9999999999,2024-05-06,9999999988,2024-07-13
27.0,54.0,HVC011,High Voltage Cables,3.0,9999999999,2024-01-25,9999999988,2024-03-02
28.0,4843.0,WS021,Windshield,1.0,9999999999,2024-03-27,9999999988,2024-05-12
29.0,329.0,PEC007,Power Electronics Controller,1.0,9999999999,2024-02-25,9999999988,2024-06-09
30.0,1715.0,AB036,12V Auxiliary Battery,1.0,9999999999,2024-06-22,9999999988,2024-06-26
31.0,4704.0,PSF033,Power Steering Fluid (if applicable),2.0,9999999999,2024-02-01,9999999988,2024-04-03
32.0,3584.0,TMS008,Thermal Management System,1.0,9999999999,2024-07-16,9999999988,2024-07-21
33.0,1000.0,CL031,Coolant (for thermal management),4.0,9999999999,2024-07-09,9999999988,2024-07-11
34.0,1555.0,OC010,Onboard Charger,1.0,9999999999,2024-04-27,9999999988,2024-06-19
35.0,3693.0,MI022,Mirrors,1.0,9999999999,2024-04-23,9999999988,2024-06-30
36.0,4412.0,BMS006,Battery Management System (BMS),1.0,9999999999,2024-02-18,9999999988,2024-06-03
37.0,1669.0,BF032,Brake Fluid,4.0,9999999999,2024-05-09,9999999988,2024-06-30
38.0,2478.0,WB025,Wiper Blades,4.0,9999999999,2024-03-19,9999999988,2024-07-14
39.0,4979.0,BP001,Battery Pack,1.0,9999999999,2024-04-21,9999999988,2024-06-03
40.0,4002.0,WB025,Wiper Blades,3.0,9999999999,2024-02-05,9999999988,2024-05-30
41.0,70.0,BF032,Brake Fluid,2.0,9999999999,2024-05-29,9999999988,2024-06-28
42.0,2530.0,RG013,Reduction Gear,1.0,9999999999,2024-04-04,9999999988,2024-05-30
43.0,2957.0,BD018,Brake Discs,3.0,9999999999,2024-03-12,9999999988,2024-04-17
44.0,2561.0,OC010,Onboard Charger,1.0,9999999999,2024-03-13,9999999988,2024-03-19
45.0,1645.0,PEC007,Power Electronics Controller,1.0,9999999999,2024-04-10,9999999988,2024-07-11
46.0,3434.0,PEC007,Power Electronics Controller,1.0,9999999999,2024-01-27,9999999988,2024-02-13
47.0,3149.0,PEC007,Power Electronics Controller,1.0,9999999999,2024-02-20,9999999988,2024-03-20
48.0,370.0,TI019,Tires,3.0,9999999999,2024-01-16,9999999988,2024-06-27
49.0,1826.0,EWP016,Electric Water Pump,1.0,9999999999,2024-02-01,9999999988,2024-06-15
50.0,3280.0,AB036,12V Auxiliary Battery,1.0,9999999999,2024-05-31,9999999988,2024-07-20
51.0,3228.0,HVC011,High Voltage Cables,4.0,9999999999,2024-04-17,9999999988,2024-06-06
52.0,2700.0,BF032,Brake Fluid,2.0,9999999999,2024-04-01,9999999988,2024-05-12
53.0,2260.0,SC026,"Suspension Components (Shocks, Struts)",3.0,9999999999,2024-06-11,9999999988,2024-07-09
54.0,1426.0,TI019,Tires,2.0,9999999999,2024-04-16,9999999988,2024-05-29
55.0,4985.0,PSF033,Power Steering Fluid (if applicable),3.0,9999999999,2024-07-10,9999999988,2024-07-18
56.0,4186.0,HL023,Headlights,4.0,9999999999,2024-05-18,9999999988,2024-05-25
57.0,1323.0,TI019,Tires,3.0,9999999999,2024-05-05,9999999988,2024-07-03
58.0,3842.0,WS021,Windshield,1.0,9999999999,2024-02-14,9999999988,2024-05-18
59.0,4726.0,MI022,Mirrors,2.0,9999999999,2024-05-10,9999999988,2024-05-28
60.0,176.0,AB036,12V Auxiliary Battery,1.0,9999999999,2024-04-04,9999999988,2024-04-07
61.0,2315.0,SC026,"Suspension Components (Shocks, Struts)",1.0,9999999999,2024-04-15,9999999988,2024-05-07
62.0,3578.0,WB025,Wiper Blades,1.0,9999999999,2024-03-26,9999999988,2024-06-06
63.0,3552.0,EDU012,Electric Drive Unit,1.0,9999999999,2024-03-07,9999999988,2024-05-10
64.0,4039.0,WB025,Wiper Blades,3.0,9999999999,2024-06-14,9999999988,2024-06-17
65.0,1011.0,BD018,Brake Discs,1.0,9999999999,2024-02-09,9999999988,2024-07-10
66.0,4024.0,TRE028,Tie Rod Ends,1.0,9999999999,2024-02-26,9999999988,2024-07-10
67.0,1213.0,CAF034,Cabin Air Filter,1.0,9999999999,2024-03-25,9999999988,2024-04-02
68.0,1356.0,WB020,Wheel Bearings,2.0,9999999999,2024-01-29,9999999988,2024-02-03
69.0,4038.0,MI022,Mirrors,2.0,9999999999,2024-02-18,9999999988,2024-06-20
70.0,3326.0,CAF034,Cabin Air Filter,1.0,9999999999,2024-03-14,9999999988,2024-07-09
71.0,1586.0,HP014,Heat Pump,1.0,9999999999,2024-02-16,9999999988,2024-05-01
72.0,1630.0,TI019,Tires,2.0,9999999999,2024-02-05,9999999988,2024-04-16
73.0,1738.0,WS021,Windshield,1.0,9999999999,2024-02-15,9999999988,2024-02-22
74.0,1936.0,RG013,Reduction Gear,1.0,9999999999,2024-01-09,9999999988,2024-03-24
75.0,24.0,AX030,Axles,1.0,9999999999,2024-03-12,9999999988,2024-04-05
76.0,1997.0,CL031,Coolant (for thermal management),2.0,9999999999,2024-07-05,9999999988,2024-07-10
77.0,2143.0,HP014,Heat Pump,1.0,9999999999,2024-01-24,9999999988,2024-06-03
78.0,3387.0,EWP016,Electric Water Pump,1.0,9999999999,2024-01-09,9999999988,2024-06-22
79.0,3137.0,AX030,Axles,2.0,9999999999,2024-02-09,9999999988,2024-07-20
80.0,1231.0,WS021,Windshield,1.0,9999999999,2024-04-10,9999999988,2024-04-23
81.0,4628.0,FB035,Fuse Box,1.0,9999999999,2024-03-26,9999999988,2024-04-08
82.0,4846.0,EWP016,Electric Water Pump,1.0,9999999999,2024-04-26,9999999988,2024-05-30
83.0,817.0,CVJ029,CV Joints,2.0,9999999999,2024-06-18,9999999988,2024-06-26
84.0,159.0,TMS008,Thermal Management System,1.0,9999999999,2024-01-24,9999999988,2024-04-30
85.0,1727.0,FB035,Fuse Box,1.0,9999999999,2024-06-30,9999999988,2024-06-30
86.0,1187.0,WB025,Wiper Blades,1.0,9999999999,2024-02-09,9999999988,2024-06-23
87.0,4727.0,EAC015,Electric Air Conditioning Compressor,1.0,9999999999,2024-05-31,9999999988,2024-06-19
88.0,4625.0,HVC011,High Voltage Cables,1.0,9999999999,2024-04-11,9999999988,2024-06-19
